"",BBK01.OEAF36L,BBK01.OEAF36L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:23,
2002-01,7.208,
2002-04,7.317,
2002-07,7.356,
2002-10,7.070,
2003-01,7.283,
2003-04,6.947,
2003-07,6.423,
2003-10,6.536,
2004-01,6.569,
2004-04,6.581,
2004-07,7.040,
2004-10,7.073,
2005-01,7.216,
2005-04,7.037,
2005-07,7.043,
2005-10,6.354,
2006-01,6.306,
2006-04,6.325,
2006-07,6.219,
2006-10,6.200,
2007-01,6.074,
2007-04,6.176,
2007-07,6.151,
2007-10,6.161,
2008-01,6.186,
2008-04,6.302,
2008-07,6.241,
2008-10,5.390,
2009-01,5.768,
2009-04,5.843,
2009-07,5.957,
2009-10,5.945,
2010-01,5.809,
2010-04,6.120,
2010-07,7.609,
2010-10,8.348,
2011-01,8.455,
2011-04,7.427,
2011-07,7.438,
2011-10,7.484,
2012-01,7.387,
2012-04,7.603,
2012-07,7.746,
2012-10,7.700,
2013-01,7.672,
2013-04,7.861,
2013-07,8.012,
2013-10,8.068,
2014-01,8.110,
2014-04,8.406,
2014-07,8.552,
