"",BBK01.OEAA40G,BBK01.OEAA40G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:36,
2002-01,1.599,
2002-04,1.559,
2002-07,1.550,
2002-10,1.520,
2003-01,1.431,
2003-04,1.407,
2003-07,1.411,
2003-10,1.398,
2004-01,1.375,
2004-04,1.351,
2004-07,1.336,
2004-10,1.316,
2005-01,0.583,
2005-04,0.574,
2005-07,0.567,
2005-10,0.549,
2006-01,0.517,
2006-04,0.503,
2006-07,0.487,
2006-10,0.530,
2007-01,0.511,
2007-04,0.497,
2007-07,0.481,
2007-10,0.468,
2008-01,0.446,
2008-04,0.430,
2008-07,0.417,
2008-10,0.395,
2009-01,0.383,
2009-04,0.366,
2009-07,0.353,
2009-10,0.339,
2010-01,0.325,
2010-04,0.313,
2010-07,0.295,
2010-10,0.405,
2011-01,0.400,
2011-04,0.403,
2011-07,0.396,
2011-10,0.404,
2012-01,0.405,
2012-04,0.416,
2012-07,0.412,
2012-10,0.403,
2013-01,0.367,
2013-04,0.380,
2013-07,0.367,
2013-10,0.361,
2014-01,0.338,
2014-04,0.326,
2014-07,0.302,
