"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.FI.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.FI.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Finland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:39,
2009-09,1080,
2009-10,966,
2009-11,975,
2009-12,1065,
2010-01,1150,
2010-02,1168,
2010-03,1289,
2010-04,1127,
2010-05,1084,
2010-06,1032,
2010-07,1057,
2010-08,1051,
2010-09,1155,
2010-10,1193,
2010-11,1157,
2010-12,1296,
2011-01,1270,
2011-02,1369,
2011-03,1314,
2011-04,1306,
2011-05,1216,
2011-06,942,
2011-07,849,
2011-08,783,
2011-09,726,
2011-10,763,
2011-11,734,
2011-12,715,
2012-01,780,
2012-02,860,
2012-03,830,
2012-04,740,
2012-05,649,
2012-06,628,
2012-07,647,
2012-08,644,
2012-09,652,
2012-10,660,
2012-11,683,
2012-12,680,
2013-01,753,
2013-02,794,
2013-03,750,
2013-04,711,
2013-05,732,
2013-06,691,
2013-07,748,
2013-08,748,
2013-09,769,
2013-10,823,
2013-11,866,
2013-12,890,
2014-01,859,
2014-02,910,
2014-03,910,
2014-04,887,
2014-05,930,
2014-06,961,
2014-07,973,
2014-08,1001,
2014-09,1118,
2014-10,1130,
2014-11,1175,
