"",BBFN1.M.DE.N.1.L.JP.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:47,
1982-09,0.221,
1982-10,0.188,
1982-11,0.239,
1982-12,0.241,
1983-01,0.228,
1983-02,0.216,
1983-03,0.234,
1983-04,0.251,
1983-05,0.260,
1983-06,0.305,
1983-07,0.279,
1983-08,0.267,
1983-09,0.284,
1983-10,0.271,
1983-11,0.278,
1983-12,0.282,
1984-01,0.276,
1984-02,0.267,
1984-03,0.265,
1984-04,0.275,
1984-05,0.254,
1984-06,0.278,
1984-07,0.306,
1984-08,0.335,
1984-09,0.334,
1984-10,0.355,
1984-11,0.362,
1984-12,0.355,
1985-01,0.328,
1985-02,0.319,
1985-03,0.316,
1985-04,0.305,
1985-05,0.293,
1985-06,0.285,
1985-07,0.283,
1985-08,0.262,
1985-09,0.257,
1985-10,0.241,
1985-11,0.238,
1985-12,0.246,
1986-01,0.232,
1986-02,0.252,
1986-03,0.247,
1986-04,0.280,
1986-05,0.275,
1986-06,0.278,
1986-07,0.289,
1986-08,0.272,
1986-09,0.277,
1986-10,0.281,
1986-11,0.278,
1986-12,0.270,
1987-01,0.272,
1987-02,0.268,
1987-03,0.274,
1987-04,0.268,
1987-05,0.254,
1987-06,0.252,
1987-07,0.249,
1987-08,0.254,
1987-09,0.251,
1987-10,0.274,
1987-11,0.273,
1987-12,0.273,
1988-01,0.321,
1988-02,0.275,
1988-03,0.300,
1988-04,0.308,
1988-05,0.310,
1988-06,0.287,
1988-07,0.282,
1988-08,0.297,
1988-09,0.279,
1988-10,0.289,
1988-11,0.289,
1988-12,0.277,
1989-01,0.280,
1989-02,0.295,
1989-03,0.291,
1989-04,0.279,
1989-05,0.287,
1989-06,0.286,
1989-07,0.295,
1989-08,0.325,
1989-09,0.314,
1989-10,0.316,
1989-11,0.320,
1989-12,0.381,
1990-01,0.327,
1990-02,0.394,
1990-03,0.370,
1990-04,0.339,
1990-05,0.356,
1990-06,0.379,
1990-07,0.414,
1990-08,0.373,
1990-09,0.402,
1990-10,0.393,
1990-11,0.375,
1990-12,0.417,
1991-01,0.435,
1991-02,0.503,
1991-03,0.638,
1991-04,0.655,
1991-05,0.727,
1991-06,0.753,
1991-07,0.710,
1991-08,0.708,
1991-09,0.706,
1991-10,0.715,
1991-11,0.643,
1991-12,0.656,
1992-01,0.639,
1992-02,0.726,
1992-03,0.776,
1992-04,0.877,
1992-05,0.817,
1992-06,0.814,
1992-07,0.737,
1992-08,0.762,
1992-09,0.929,
1992-10,1.038,
1992-11,1.003,
1992-12,1.122,
1993-01,1.276,
1993-02,1.314,
1993-03,1.299,
1993-04,1.301,
1993-05,1.326,
1993-06,1.351,
1993-07,1.374,
1993-08,1.449,
1993-09,1.481,
1993-10,1.437,
1993-11,1.471,
1993-12,1.479,
1994-01,1.500,
1994-02,1.468,
1994-03,1.487,
1994-04,1.499,
1994-05,1.505,
1994-06,1.512,
1994-07,1.462,
1994-08,1.498,
1994-09,1.559,
1994-10,1.543,
1994-11,1.537,
1994-12,1.609,
1995-01,1.616,
1995-02,1.539,
1995-03,1.508,
1995-04,1.483,
1995-05,1.493,
1995-06,1.511,
1995-07,1.535,
1995-08,1.528,
1995-09,1.823,
1995-10,1.889,
1995-11,1.850,
1995-12,1.776,
1996-01,1.773,
1996-02,1.759,
1996-03,1.781,
1996-04,1.831,
1996-05,1.766,
1996-06,1.745,
1996-07,1.808,
1996-08,1.727,
1996-09,1.736,
1996-10,1.830,
1996-11,1.724,
1996-12,1.835,
1997-01,1.737,
1997-02,1.748,
1997-03,1.752,
1997-04,1.737,
1997-05,1.745,
1997-06,1.777,
1997-07,1.802,
1997-08,1.754,
1997-09,1.761,
1997-10,1.832,
1997-11,1.759,
1997-12,1.820,
1998-01,1.791,
1998-02,1.763,
1998-03,1.789,
1998-04,1.814,
1998-05,1.768,
1998-06,1.726,
1998-07,1.568,
