"",BBK01.OEAC46G,BBK01.OEAC46G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:26,
2002-01,104.360,
2002-04,104.903,
2002-07,104.233,
2002-10,104.457,
2003-01,103.822,
2003-04,103.519,
2003-07,103.375,
2003-10,103.480,
2004-01,102.660,
2004-04,102.587,
2004-07,102.420,
2004-10,101.981,
2005-01,101.503,
2005-04,101.679,
2005-07,101.555,
2005-10,102.178,
2006-01,98.943,
2006-04,98.612,
2006-07,99.319,
2006-10,99.623,
2007-01,99.671,
2007-04,100.475,
2007-07,100.929,
2007-10,101.953,
2008-01,101.414,
2008-04,103.768,
2008-07,107.824,
2008-10,109.583,
2009-01,109.575,
2009-04,114.998,
2009-07,115.068,
2009-10,113.666,
2010-01,113.119,
2010-04,112.837,
2010-07,113.147,
2010-10,113.360,
2011-01,113.199,
2011-04,112.710,
2011-07,112.536,
2011-10,113.405,
2012-01,113.134,
2012-04,115.204,
2012-07,117.055,
2012-10,117.525,
2013-01,117.255,
2013-04,118.413,
2013-07,114.673,
2013-10,117.207,
2014-01,117.159,
2014-04,117.897,
2014-07,118.810,
