"",BBK01.OEAE13S,BBK01.OEAE13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:51,
2002-01,0.109,
2002-04,0.110,
2002-07,0.121,
2002-10,0.116,
2003-01,0.090,
2003-04,0.094,
2003-07,0.106,
2003-10,0.108,
2004-01,0.105,
2004-04,0.098,
2004-07,0.090,
2004-10,0.089,
2005-01,0.086,
2005-04,0.085,
2005-07,0.089,
2005-10,0.095,
2006-01,0.086,
2006-04,0.068,
2006-07,0.077,
2006-10,0.077,
2007-01,0.080,
2007-04,0.077,
2007-07,0.064,
2007-10,0.083,
2008-01,0.078,
2008-04,0.077,
2008-07,0.072,
2008-10,0.073,
2009-01,0.042,
2009-04,0.047,
2009-07,0.047,
2009-10,0.034,
2010-01,0.036,
2010-04,0.031,
2010-07,0.029,
2010-10,0.027,
2011-01,0.030,
2011-04,0.023,
2011-07,0.023,
2011-10,0.021,
2012-01,0.018,
2012-04,0.020,
2012-07,0.018,
2012-10,0.017,
2013-01,0.017,
2013-04,0.024,
2013-07,0.023,
2013-10,0.021,
2014-01,0.017,
2014-04,0.022,
2014-07,0.024,
