"",BBK01.OEAB22J,BBK01.OEAB22J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:56,
2002-01,0.073,
2002-04,0.129,
2002-07,0.177,
2002-10,0.179,
2003-01,0.081,
2003-04,0.033,
2003-07,0.180,
2003-10,0.309,
2004-01,0.054,
2004-04,0.147,
2004-07,0.062,
2004-10,0.226,
2005-01,0.209,
2005-04,0.048,
2005-07,0.082,
2005-10,0.118,
2006-01,0.052,
2006-04,0.065,
2006-07,0.089,
2006-10,0.200,
2007-01,0.073,
2007-04,0.055,
2007-07,0.032,
2007-10,0.152,
2008-01,0.173,
2008-04,0.136,
2008-07,0.169,
2008-10,0.048,
2009-01,0.422,
2009-04,0.150,
2009-07,0.232,
2009-10,0.033,
2010-01,0.010,
2010-04,0.048,
2010-07,0.018,
2010-10,0.047,
2011-01,0.024,
2011-04,0.064,
2011-07,0.070,
2011-10,0.060,
2012-01,0.220,
2012-04,0.248,
2012-07,0.259,
2012-10,0.017,
2013-01,0.277,
2013-04,0.124,
2013-07,0.022,
2013-10,0.098,
2014-01,0.223,
2014-04,0.108,
2014-07,0.454,
