"",BBFI1.Q.N.DE.W1.S13.S1.LE.A.FA.O.F4.S._T.N.N,BBFI1.Q.N.DE.W1.S13.S1.LE.A.FA.O.F4.S._T.N.N_FLAGS
"",IIP - Other Investment - Loans - General government - Short-term original maturity (up to 1 year incl. incl.) - Assets - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:06:35,
1999-10,-,Nothing exists
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,64,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,59,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,32,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,55,
2004-01,105,
2004-04,70,
2004-07,73,
2004-10,39,
2005-01,63,
2005-04,66,
2005-07,78,
2005-10,36,
2006-01,53,
2006-04,73,
2006-07,52,
2006-10,33,
2007-01,55,
2007-04,69,
2007-07,40,
2007-10,274,
2008-01,48,
2008-04,54,
2008-07,50,
2008-10,27,
2009-01,958,
2009-04,310,
2009-07,128,
2009-10,771,
2010-01,8,
2010-04,358,
2010-07,393,
2010-10,7732,
2011-01,10197,
2011-04,8429,
2011-07,5416,
2011-10,5439,
2012-01,6324,
2012-04,8043,
2012-07,6588,
2012-10,11542,
2013-01,10782,
2013-04,8944,
2013-07,8753,
2013-10,8336,
2014-01,7873,
2014-04,8365,
2014-07,9089,
