"",BBK01.OEAC37G,BBK01.OEAC37G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:36,
2002-01,0.731,
2002-04,1.553,
2002-07,1.550,
2002-10,1.537,
2003-01,1.535,
2003-04,1.482,
2003-07,1.491,
2003-10,1.570,
2004-01,1.598,
2004-04,1.673,
2004-07,1.701,
2004-10,1.683,
2005-01,1.671,
2005-04,1.660,
2005-07,1.679,
2005-10,1.736,
2006-01,1.765,
2006-04,1.831,
2006-07,1.812,
2006-10,1.802,
2007-01,1.788,
2007-04,1.803,
2007-07,1.814,
2007-10,1.862,
2008-01,1.875,
2008-04,1.935,
2008-07,1.953,
2008-10,1.987,
2009-01,2.033,
2009-04,2.047,
2009-07,1.954,
2009-10,1.931,
2010-01,1.605,
2010-04,1.899,
2010-07,1.868,
2010-10,1.889,
2011-01,1.864,
2011-04,1.850,
2011-07,1.879,
2011-10,1.920,
2012-01,1.910,
2012-04,1.925,
2012-07,1.867,
2012-10,1.862,
2013-01,1.857,
2013-04,1.806,
2013-07,1.827,
2013-10,1.827,
2014-01,1.815,
2014-04,1.862,
2014-07,1.837,
