"",BBK01.OEAE13L,BBK01.OEAE13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:08,
2002-01,5.061,
2002-04,5.239,
2002-07,4.909,
2002-10,4.854,
2003-01,5.819,
2003-04,6.028,
2003-07,5.492,
2003-10,5.217,
2004-01,5.502,
2004-04,5.738,
2004-07,5.449,
2004-10,5.140,
2005-01,5.160,
2005-04,5.120,
2005-07,5.167,
2005-10,4.980,
2006-01,4.661,
2006-04,4.719,
2006-07,4.393,
2006-10,4.225,
2007-01,5.007,
2007-04,4.844,
2007-07,5.105,
2007-10,4.722,
2008-01,4.695,
2008-04,5.034,
2008-07,5.251,
2008-10,4.025,
2009-01,4.053,
2009-04,3.719,
2009-07,3.279,
2009-10,2.728,
2010-01,3.549,
2010-04,3.519,
2010-07,2.756,
2010-10,2.649,
2011-01,2.462,
2011-04,2.456,
2011-07,2.550,
2011-10,2.314,
2012-01,2.257,
2012-04,2.327,
2012-07,2.370,
2012-10,2.377,
2013-01,2.289,
2013-04,1.992,
2013-07,1.970,
2013-10,1.703,
2014-01,1.971,
2014-04,1.906,
2014-07,1.707,
