"",BBK01.CEF40C,BBK01.CEF40C_FLAGS
"",Loans                                                           debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:28,
1999-01,93.6,
1999-04,93.4,
1999-07,93.3,
1999-10,95.3,
2000-01,95.7,
2000-04,96.6,
2000-07,97.5,
2000-10,98.1,
2001-01,98.1,
2001-04,98.6,
2001-07,97.9,
2001-10,98.8,
2002-01,98.7,
2002-04,98.9,
2002-07,98.3,
2002-10,98.9,
2003-01,98.7,
2003-04,97.7,
2003-07,97.0,
2003-10,95.3,
2004-01,96.0,
2004-04,94.7,
2004-07,89.8,
2004-10,87.6,
2005-01,88.6,
2005-04,85.8,
2005-07,84.5,
2005-10,79.5,
2006-01,78.7,
2006-04,78.3,
2006-07,76.6,
2006-10,75.1,
2007-01,74.8,
2007-04,75.6,
2007-07,75.7,
2007-10,76.8,
2008-01,74.3,
2008-04,77.6,
2008-07,75.0,
2008-10,86.1,
2009-01,83.4,
2009-04,88.2,
2009-07,91.1,
2009-10,88.0,
2010-01,88.0,
2010-04,114.3,
2010-07,107.0,
2010-10,142.2,
2011-01,132.1,
2011-04,146.9,
2011-07,140.2,
2011-10,134.4,
2012-01,140.7,
2012-04,173.0,
2012-07,174.5,
2012-10,186.9,
2013-01,190.7,
2013-04,199.4,
2013-07,181.3,
2013-10,187.5,
2014-01,184.1,
2014-04,192.8,
2014-07,185.2,
