"",BBFB1.Q.N.DE.GR.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:31,
1991-01,33.577,
1991-04,-29.541,
1991-07,7.510,
1991-10,54.557,
1992-01,137.103,
1992-04,-14.310,
1992-07,-7.937,
1992-10,73.474,
1993-01,54.513,
1993-04,61.716,
1993-07,217.583,
1993-10,34.179,
1994-01,-57.653,
1994-04,-164.393,
1994-07,128.785,
1994-10,412.805,
1995-01,-47.472,
1995-04,917.409,
1995-07,174.264,
1995-10,302.496,
1996-01,761.445,
1996-04,-85.502,
1996-07,208.469,
1996-10,-143.149,
1997-01,521.506,
1997-04,271.847,
1997-07,113.164,
1997-10,487.188,
1998-01,2132.827,
1998-04,-477.470,
1998-07,742.859,
1998-10,731.106,
1999-01,1458.641,
1999-04,761.242,
1999-07,291.020,
1999-10,303.282,
2000-01,266.311,
2000-04,913.957,
2000-07,146.065,
2000-10,-1065.215,
2001-01,484.010,
2001-04,619.343,
2001-07,811.353,
2001-10,979.509,
2002-01,-532.155,
2002-04,1804.148,
2002-07,100.648,
2002-10,-303.320,
2003-01,822.427,
2003-04,1136.586,
2003-07,-17.452,
2003-10,-142.636,
2004-01,1826.665,
2004-04,-917.633,
2004-07,891.060,
2004-10,363.760,
2005-01,2300.160,
2005-04,773.602,
2005-07,-838.270,
2005-10,-175.186,
2006-01,293.104,
2006-04,206.431,
2006-07,527.427,
2006-10,-713.758,
2007-01,-393.825,
2007-04,2000.556,
2007-07,260.463,
2007-10,-381.342,
2008-01,1243.167,
2008-04,-1491.594,
2008-07,135.089,
2008-10,-421.192,
2009-01,-125.450,
2009-04,329.123,
2009-07,107.914,
2009-10,480.782,
2010-01,1776.273,
2010-04,-1396.332,
2010-07,237.051,
2010-10,-594.762,
2011-01,305.699,
2011-04,745.387,
2011-07,173.632,
2011-10,570.039,
2012-01,30.054,
2012-04,790.615,
2012-07,316.100,
2012-10,-223.160,
2013-01,556.415,
2013-04,-1172.261,
2013-07,114.785,
2013-10,-105.578,
2014-01,-14.977,Provisional value
2014-04,-44.501,Provisional value
2014-07,-85.638,Provisional value
2014-10,122.112,Provisional value
