"",BBFN1.M.DE.N.1.A.S1.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.S1.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:34,
1995-01,2.040,
1995-02,2.795,
1995-03,2.631,
1995-04,2.869,
1995-05,2.804,
1995-06,2.950,
1995-07,3.534,
1995-08,3.349,
1995-09,3.363,
1995-10,3.624,
1995-11,3.283,
1995-12,2.622,
1996-01,3.453,
1996-02,3.259,
1996-03,2.998,
1996-04,3.410,
1996-05,3.193,
1996-06,3.277,
1996-07,4.043,
1996-08,4.464,
1996-09,4.627,
1996-10,4.705,
1996-11,4.719,
1996-12,3.205,
1997-01,4.544,
1997-02,4.575,
1997-03,4.660,
1997-04,5.071,
1997-05,4.972,
1997-06,4.356,
1997-07,4.304,
1997-08,4.221,
1997-09,3.949,
1997-10,3.291,
1997-11,2.920,
1997-12,2.316,
1998-01,2.041,
1998-02,1.823,
1998-03,1.633,
1998-04,1.314,
1998-05,1.263,
1998-06,1.084,
1998-07,1.146,
1998-08,0.952,
1998-09,0.859,
1998-10,0.920,
1998-11,0.954,
1998-12,0.872,
1999-01,0.983,
1999-02,0.889,
1999-03,1.115,
1999-04,0.946,
1999-05,0.736,
1999-06,0.824,
1999-07,0.895,
1999-08,0.877,
1999-09,0.723,
1999-10,0.877,
1999-11,1.000,
1999-12,0.700,
2000-01,0.880,
2000-02,0.820,
2000-03,0.800,
2000-04,1.061,
2000-05,0.748,
2000-06,0.662,
2000-07,0.566,
2000-08,0.548,
2000-09,0.493,
2000-10,0.447,
2000-11,0.431,
2000-12,0.392,
2001-01,0.571,
2001-02,0.751,
2001-03,0.799,
2001-04,0.762,
2001-05,0.697,
2001-06,0.672,
2001-07,0.593,
2001-08,0.629,
2001-09,0.639,
2001-10,0.647,
2001-11,0.610,
2001-12,0.283,
2002-01,0.612,
2002-02,0.747,
2002-03,0.829,
2002-04,0.861,
2002-05,0.808,
2002-06,0.821,
2002-07,0.917,
2002-08,0.840,
2002-09,1.120,
2002-10,0.921,
2002-11,0.857,
2002-12,0.334,
2003-01,0.724,
2003-02,0.700,
2003-03,0.711,
2003-04,0.698,
2003-05,0.671,
2003-06,0.623,
2003-07,0.697,
2003-08,0.862,
2003-09,0.874,
2003-10,0.785,
2003-11,0.764,
2003-12,0.428,
2004-01,0.690,
2004-02,0.409,
2004-03,0.739,
2004-04,0.368,
2004-05,0.442,
2004-06,0.458,
2004-07,0.464,
2004-08,0.467,
2004-09,0.420,
2004-10,0.540,
2004-11,0.437,
2004-12,0.485,
2005-01,0.478,
2005-02,0.484,
2005-03,0.470,
2005-04,0.776,
2005-05,0.747,
2005-06,0.861,
2005-07,0.859,
2005-08,0.835,
2005-09,0.869,
2005-10,0.708,
2005-11,0.888,
2005-12,0.681,
2006-01,0.701,
2006-02,0.726,
2006-03,0.798,
2006-04,0.787,
2006-05,0.795,
2006-06,0.735,
2006-07,0.821,
2006-08,1.092,
2006-09,1.074,
2006-10,1.139,
2006-11,1.116,
2006-12,1.052,
2007-01,1.385,
2007-02,1.344,
2007-03,0.898,
2007-04,1.083,
2007-05,1.440,
2007-06,1.363,
2007-07,1.334,
2007-08,1.509,
2007-09,1.483,
2007-10,1.433,
2007-11,2.095,
2007-12,1.099,
2008-01,1.222,
2008-02,1.137,
2008-03,1.007,
2008-04,1.317,
2008-05,1.434,
2008-06,0.783,
2008-07,0.831,
2008-08,0.835,
2008-09,0.830,
2008-10,1.047,
2008-11,0.860,
2008-12,0.718,
2009-01,0.534,
2009-02,0.563,
2009-03,0.651,
2009-04,0.393,
2009-05,0.290,
2009-06,0.381,
2009-07,0.407,
2009-08,0.337,
2009-09,0.498,
2009-10,0.432,
2009-11,0.365,
2009-12,0.335,
2010-01,0.407,
2010-02,0.278,
2010-03,0.440,
2010-04,0.434,
2010-05,0.568,
2010-06,0.471,
2010-07,0.385,
2010-08,0.410,
2010-09,0.486,
2010-10,0.455,
2010-11,0.530,
2010-12,0.545,
2011-01,0.533,
2011-02,0.444,
2011-03,0.550,
2011-04,0.506,
2011-05,0.548,
2011-06,0.646,
2011-07,0.655,
2011-08,0.717,
2011-09,0.583,
2011-10,0.766,
2011-11,1.230,
2011-12,1.482,
2012-01,1.373,
2012-02,1.215,
2012-03,1.132,
2012-04,1.706,
2012-05,1.497,
2012-06,1.540,
2012-07,2.249,
2012-08,2.091,
2012-09,1.902,
2012-10,2.235,
2012-11,1.967,
2012-12,1.650,
2013-01,1.234,
2013-02,1.215,
2013-03,1.257,
2013-04,1.465,
2013-05,1.350,
2013-06,1.681,
2013-07,1.383,
2013-08,1.170,
2013-09,1.384,
2013-10,1.977,
2013-11,2.299,
2013-12,1.264,
2014-01,1.305,
2014-02,1.245,
2014-03,2.283,
2014-04,2.471,
2014-05,2.307,
2014-06,2.832,
2014-07,3.034,
2014-08,3.053,
2014-09,2.555,
2014-10,2.429,
2014-11,2.557,
2014-12,2.415,
