"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:57,
1991-01,1916.134,
1991-02,5905.254,
1991-03,-5758.294,
1991-04,164.047,
1991-05,4171.738,
1991-06,2060.395,
1991-07,4238.834,
1991-08,5233.648,
1991-09,3318.633,
1991-10,6611.005,
1991-11,5053.481,
1991-12,2488.875,
1992-01,7239.708,
1992-02,-635.814,
1992-03,-3314.298,
1992-04,-509.562,
1992-05,2595.814,
1992-06,623.657,
1992-07,5290.916,
1992-08,4390.117,
1992-09,15758.851,
1992-10,10660.416,
1992-11,3359.770,
1992-12,14240.674,
1993-01,14820.820,
1993-02,10467.520,
1993-03,13241.266,
1993-04,8438.373,
1993-05,9472.794,
1993-06,14733.320,
1993-07,13114.808,
1993-08,669.202,
1993-09,8415.001,
1993-10,11242.988,
1993-11,7526.018,
1993-12,10733.041,
1994-01,12430.531,
1994-02,-5051.889,
1994-03,-11522.235,
1994-04,-2591.639,
1994-05,-708.191,
1994-06,-2626.296,
1994-07,3308.491,
1994-08,2469.146,
1994-09,382.208,
1994-10,4931.358,
1994-11,9347.148,
1994-12,-2753.545,
1995-01,305.017,
1995-02,-2455.260,
1995-03,2553.111,
1995-04,3080.820,
1995-05,7068.064,
1995-06,7301.704,
1995-07,1547.073,
1995-08,7637.272,
1995-09,760.868,
1995-10,587.064,
1995-11,8487.543,
1995-12,1547.655,
1996-01,13267.080,
1996-02,5302.211,
1996-03,-2330.608,
1996-04,-705.789,
1996-05,8087.025,
1996-06,7510.199,
1996-07,8615.793,
1996-08,9734.927,
1996-09,2276.181,
1996-10,1656.806,
1996-11,14548.933,
1996-12,4306.770,
1997-01,16992.821,
1997-02,4875.370,
1997-03,369.592,
1997-04,453.125,
1997-05,2015.371,
1997-06,15070.337,
1997-07,13938.763,
1997-08,3184.240,
1997-09,10605.612,
1997-10,-2316.535,
1997-11,6987.131,
1997-12,8617.135,
1998-01,12212.377,
1998-02,11126.337,
1998-03,-565.167,
1998-04,7451.252,
1998-05,8201.281,
1998-06,20903.256,
1998-07,24370.154,
1998-08,16378.502,
1998-09,5734.504,
1998-10,-10123.833,
1998-11,36105.870,
1998-12,3772.989,
1999-01,16704.284,
1999-02,11035.302,
1999-03,-5257.138,
1999-04,20028.586,
1999-05,1304.581,
1999-06,26593.240,
1999-07,16927.352,
1999-08,21702.561,
1999-09,17584.688,
1999-10,4722.458,
1999-11,25023.637,
1999-12,11720.673,
2000-01,1493.338,
2000-02,-88886.421,
2000-03,2586.460,
2000-04,11193.087,
2000-05,17273.820,
2000-06,56322.401,
2000-07,16251.859,
2000-08,603.740,
2000-09,11412.126,
2000-10,10184.953,
2000-11,2360.642,
2000-12,10296.536,
2001-01,362.133,
2001-02,3971.019,
2001-03,1051.469,
2001-04,-1041.028,
2001-05,48032.768,
2001-06,36019.014,
2001-07,11955.258,
2001-08,14695.681,
2001-09,13069.301,
2001-10,21115.220,
2001-11,21293.874,
2001-12,-13816.874,
2002-01,10007.733,
2002-02,2990.660,
2002-03,16156.184,
2002-04,2501.603,
2002-05,18943.083,
2002-06,33393.783,
2002-07,21029.971,
2002-08,10134.987,
2002-09,10907.614,
2002-10,1757.098,
2002-11,13254.814,
2002-12,-10923.067,
2003-01,8855.431,
2003-02,12429.555,
2003-03,14989.789,
2003-04,8678.747,
2003-05,10785.585,
2003-06,16023.707,
2003-07,-303.915,
2003-08,-3987.854,
2003-09,2238.510,
2003-10,34954.544,
2003-11,-393.996,
2003-12,-4089.202,
2004-01,23714.506,
2004-02,11214.094,
2004-03,8999.099,
2004-04,-1435.703,
2004-05,899.612,
2004-06,5966.385,
2004-07,28568.053,
2004-08,19600.857,
2004-09,6257.255,
2004-10,15970.789,
2004-11,10992.175,
2004-12,-11598.886,
2005-01,22756.003,
2005-02,21879.316,
2005-03,9665.978,
2005-04,-15958.849,
2005-05,18387.974,
2005-06,64481.216,
2005-07,17810.166,
2005-08,-1945.543,
2005-09,22834.640,
2005-10,7948.652,
2005-11,6148.461,
2005-12,1757.940,
2006-01,11595.231,
2006-02,16608.896,
2006-03,27796.649,
2006-04,-28464.399,
2006-05,1141.144,
2006-06,33776.673,
2006-07,16945.605,
2006-08,4016.793,
2006-09,2772.181,
2006-10,25215.641,
2006-11,23284.990,
2006-12,9942.782,
2007-01,20865.062,
2007-02,24232.969,
2007-03,18683.661,
2007-04,-682.394,
2007-05,36785.553,
2007-06,68728.249,
2007-07,20785.222,
2007-08,18702.174,
2007-09,9206.901,
2007-10,43510.789,
2007-11,39361.900,
2007-12,1644.945,
2008-01,9070.567,
2008-02,2955.942,
2008-03,4813.111,
2008-04,-43495.775,
2008-05,23726.258,
2008-06,44079.253,
2008-07,9367.230,
2008-08,14805.579,
2008-09,-1257.658,
2008-10,-22149.704,
2008-11,2543.940,
2008-12,-31726.247,
2009-01,-22016.586,
2009-02,6229.044,
2009-03,-7597.960,
2009-04,-15254.062,
2009-05,51146.215,
2009-06,-938.303,
2009-07,-18050.580,
2009-08,17970.545,
2009-09,411.307,
2009-10,-8117.300,
2009-11,6685.786,
2009-12,-16587.169,
2010-01,-2222.123,
2010-02,13040.478,
2010-03,4993.993,
2010-04,-9468.874,
2010-05,30302.606,
2010-06,-18191.421,
2010-07,-3215.726,
2010-08,17127.182,
2010-09,20396.577,
2010-10,18068.383,
2010-11,37406.041,
2010-12,-50638.286,
2011-01,7875.167,
2011-02,37049.550,
2011-03,-9972.444,
2011-04,-8473.705,
2011-05,48140.254,
2011-06,-1313.333,
2011-07,-6189.068,
2011-08,34422.463,
2011-09,-11176.777,
2011-10,-17335.455,
2011-11,4625.044,
2011-12,-28070.415,
2012-01,-20184.313,
2012-02,41043.493,
2012-03,-12926.483,
2012-04,-18133.964,
2012-05,41632.363,
2012-06,3201.952,
2012-07,3295.438,
2012-08,4630.988,
2012-09,-7421.757,
2012-10,4863.666,
2012-11,26033.758,
2012-12,-20959.236,
2013-01,-5846.389,
2013-02,25382.943,
2013-03,-14407.463,
2013-04,-28017.629,
2013-05,32914.974,
2013-06,-18092.671,
2013-07,-14116.280,
2013-08,5030.092,
2013-09,3365.076,
2013-10,-384.403,
2013-11,18477.428,
2013-12,-28418.764,
2014-01,4176.050,
2014-02,19939.619,Provisional value
2014-03,-14771.366,Provisional value
2014-04,-27878.296,Provisional value
2014-05,35812.161,Provisional value
2014-06,10712.768,Provisional value
2014-07,-9927.662,Provisional value
2014-08,17214.275,Provisional value
2014-09,-3299.185,
2014-10,-216.873,
2014-11,11072.571,
2014-12,-20066.287,Provisional value
