"",BBK01.OEAD08V,BBK01.OEAD08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:56,
2002-01,0.719,
2002-04,0.704,
2002-07,0.686,
2002-10,0.632,
2003-01,0.622,
2003-04,0.596,
2003-07,0.574,
2003-10,0.556,
2004-01,0.550,
2004-04,0.545,
2004-07,0.532,
2004-10,0.508,
2005-01,0.484,
2005-04,0.500,
2005-07,0.500,
2005-10,0.487,
2006-01,0.487,
2006-04,0.483,
2006-07,0.462,
2006-10,0.465,
2007-01,0.495,
2007-04,0.503,
2007-07,0.498,
2007-10,0.490,
2008-01,0.505,
2008-04,0.508,
2008-07,0.526,
2008-10,0.440,
2009-01,0.453,
2009-04,0.469,
2009-07,0.475,
2009-10,0.445,
2010-01,0.417,
2010-04,0.419,
2010-07,0.418,
2010-10,0.390,
2011-01,0.404,
2011-04,0.406,
2011-07,0.412,
2011-10,0.416,
2012-01,0.432,
2012-04,0.444,
2012-07,0.431,
2012-10,0.410,
2013-01,0.431,
2013-04,0.382,
2013-07,0.386,
2013-10,0.372,
2014-01,0.376,
2014-04,0.361,
2014-07,0.348,
