"",BBK01.OECB18L,BBK01.OECB18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:31,
2002-01,1.054,
2002-04,0.915,
2002-07,1.285,
2002-10,1.059,
2003-01,0.777,
2003-04,0.912,
2003-07,0.801,
2003-10,0.790,
2004-01,0.730,
2004-04,0.713,
2004-07,0.759,
2004-10,0.750,
2005-01,0.767,
2005-04,0.870,
2005-07,0.815,
2005-10,0.820,
2006-01,0.743,
2006-04,0.777,
2006-07,0.842,
2006-10,0.804,
2007-01,0.667,
2007-04,1.486,
2007-07,0.886,
2007-10,0.866,
2008-01,0.823,
2008-04,0.885,
2008-07,1.095,
2008-10,0.988,
2009-01,0.888,
2009-04,0.875,
2009-07,1.128,
2009-10,1.277,
2010-01,0.969,
2010-04,0.850,
2010-07,1.019,
2010-10,1.273,
2011-01,0.990,
2011-04,0.998,
2011-07,1.024,
2011-10,1.003,
2012-01,1.099,
2012-04,1.172,
2012-07,1.373,
2012-10,1.297,
2013-01,1.168,
2013-04,1.287,
2013-07,1.249,
2013-10,1.319,
2014-01,1.368,
2014-04,1.280,
2014-07,1.232,
