"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.NL.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.NL.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Netherlands,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:54,
2009-09,6435,
2009-10,6205,
2009-11,6302,
2009-12,6353,
2010-01,6556,
2010-02,6755,
2010-03,6984,
2010-04,7212,
2010-05,7318,
2010-06,7589,
2010-07,7667,
2010-08,7682,
2010-09,7507,
2010-10,7413,
2010-11,7360,
2010-12,7515,
2011-01,7697,
2011-02,7365,
2011-03,7278,
2011-04,7157,
2011-05,7146,
2011-06,7088,
2011-07,6938,
2011-08,7020,
2011-09,6813,
2011-10,6662,
2011-11,6485,
2011-12,6514,
2012-01,6591,
2012-02,6662,
2012-03,6431,
2012-04,6569,
2012-05,6725,
2012-06,6754,
2012-07,7274,
2012-08,7442,
2012-09,7375,
2012-10,7243,
2012-11,7236,
2012-12,7335,
2013-01,7216,
2013-02,7453,
2013-03,7696,
2013-04,7534,
2013-05,7998,
2013-06,7984,
2013-07,8201,
2013-08,7553,
2013-09,7444,
2013-10,7403,
2013-11,7189,
2013-12,7070,
2014-01,7060,
2014-02,7255,
2014-03,7399,
2014-04,7522,
2014-05,7616,
2014-06,7510,
2014-07,7304,
2014-08,7330,
2014-09,7201,
2014-10,7179,
2014-11,7336,
