"",BBK01.OEBM03H,BBK01.OEBM03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:29,
2002-01,3.232,
2002-04,3.105,
2002-07,3.203,
2002-10,2.540,
2003-01,2.426,
2003-04,2.489,
2003-07,2.062,
2003-10,1.804,
2004-01,2.146,
2004-04,1.895,
2004-07,1.788,
2004-10,1.504,
2005-01,1.879,
2005-04,1.575,
2005-07,1.702,
2005-10,2.251,
2006-01,1.863,
2006-04,2.181,
2006-07,3.245,
2006-10,4.359,
2007-01,4.111,
2007-04,5.152,
2007-07,7.602,
2007-10,10.586,
2008-01,7.690,
2008-04,8.919,
2008-07,9.021,
2008-10,10.861,
2009-01,8.679,
2009-04,7.597,
2009-07,5.196,
2009-10,3.084,
2010-01,4.594,
2010-04,3.024,
2010-07,5.653,
2010-10,6.439,
2011-01,6.089,
2011-04,9.603,
2011-07,6.055,
2011-10,5.818,
2012-01,7.313,
2012-04,9.838,
2012-07,7.878,
2012-10,6.721,
2013-01,8.774,
2013-04,9.728,
2013-07,9.677,
2013-10,9.658,
2014-01,10.942,
2014-04,11.027,
2014-07,10.206,
