"",BBK01.OEXL07N,BBK01.OEXL07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:28,
2002-01,34.381,
2002-04,34.404,
2002-07,34.525,
2002-10,37.400,
2003-01,38.735,
2003-04,38.978,
2003-07,39.529,
2003-10,41.640,
2004-01,42.464,
2004-04,42.548,
2004-07,42.378,
2004-10,7.456,
2005-01,7.723,
2005-04,7.670,
2005-07,7.328,
2005-10,7.369,
2006-01,7.335,
2006-04,7.342,
2006-07,7.303,
2006-10,7.535,
2007-01,8.385,
2007-04,8.864,
2007-07,9.318,
2007-10,10.116,
2008-01,10.510,
2008-04,10.590,
2008-07,10.754,
2008-10,13.028,
2009-01,12.959,
2009-04,12.941,
2009-07,13.449,
2009-10,12.797,
2010-01,11.734,
2010-04,11.373,
2010-07,11.023,
2010-10,11.826,
2011-01,12.522,
2011-04,12.295,
2011-07,12.065,
2011-10,11.828,
2012-01,11.229,
2012-04,11.208,
2012-07,11.019,
2012-10,10.450,
2013-01,9.762,
2013-04,9.251,
2013-07,9.140,
2013-10,9.133,
2014-01,9.008,
2014-04,8.807,
2014-07,9.452,
