"",BBK01.OEAC13P,BBK01.OEAC13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:58,
2002-01,0.478,
2002-04,0.481,
2002-07,0.481,
2002-10,0.490,
2003-01,0.477,
2003-04,0.470,
2003-07,0.256,
2003-10,0.255,
2004-01,0.257,
2004-04,0.268,
2004-07,0.286,
2004-10,0.252,
2005-01,0.233,
2005-04,0.237,
2005-07,0.238,
2005-10,0.234,
2006-01,0.249,
2006-04,0.247,
2006-07,0.254,
2006-10,0.257,
2007-01,0.257,
2007-04,0.257,
2007-07,0.264,
2007-10,0.275,
2008-01,0.283,
2008-04,0.259,
2008-07,0.270,
2008-10,0.271,
2009-01,0.256,
2009-04,0.269,
2009-07,0.279,
2009-10,0.281,
2010-01,0.301,
2010-04,0.272,
2010-07,0.267,
2010-10,0.273,
2011-01,0.277,
2011-04,0.278,
2011-07,0.358,
2011-10,0.359,
2012-01,0.353,
2012-04,0.425,
2012-07,0.437,
2012-10,0.432,
2013-01,0.401,
2013-04,0.399,
2013-07,0.378,
2013-10,0.391,
2014-01,0.384,
2014-04,0.385,
2014-07,0.392,
