"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.12324.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.12324.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / OFIs and Financial auxiliaries,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:58,
2009-09,78965,
2009-10,81230,
2009-11,81744,
2009-12,81514,
2010-01,86389,
2010-02,86996,
2010-03,87021,
2010-04,83060,
2010-05,82692,
2010-06,82112,
2010-07,80047,
2010-08,81982,
2010-09,82699,
2010-10,83667,
2010-11,82408,
2010-12,81713,
2011-01,82823,
2011-02,82917,
2011-03,83111,
2011-04,82270,
2011-05,82442,
2011-06,81767,
2011-07,82239,
2011-08,80534,
2011-09,81863,
2011-10,84420,
2011-11,82928,
2011-12,84329,
2012-01,87607,
2012-02,91495,
2012-03,94198,
2012-04,96304,
2012-05,98413,
2012-06,98278,
2012-07,101725,
2012-08,103244,
2012-09,105166,
2012-10,106606,
2012-11,108749,
2012-12,110407,
2013-01,111704,
2013-02,113545,
2013-03,115863,
2013-04,116838,
2013-05,117218,
2013-06,114216,
2013-07,115718,
2013-08,116267,
2013-09,116553,
2013-10,118851,
2013-11,131040,
2013-12,130569,
2014-01,133355,
2014-02,132986,
2014-03,136004,
2014-04,136868,
2014-05,138654,
2014-06,143386,
2014-07,145395,
2014-08,146131,
2014-09,145770,
2014-10,145295,
2014-11,145975,
