"",BBK01.OEYB09Q,BBK01.OEYB09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:08,
2002-01,12.270,
2002-04,12.690,
2002-07,13.090,
2002-10,14.263,
2003-01,14.474,
2003-04,15.439,
2003-07,15.956,
2003-10,17.263,
2004-01,16.484,
2004-04,11.691,
2004-07,11.354,
2004-10,12.793,
2005-01,12.828,
2005-04,13.063,
2005-07,12.628,
2005-10,13.005,
2006-01,13.791,
2006-04,14.205,
2006-07,14.730,
2006-10,15.759,
2007-01,18.081,
2007-04,18.106,
2007-07,18.804,
2007-10,18.187,
2008-01,13.508,
2008-04,15.722,
2008-07,14.752,
2008-10,12.313,
2009-01,11.958,
2009-04,12.611,
2009-07,13.440,
2009-10,18.795,
2010-01,17.468,
2010-04,18.931,
2010-07,14.263,
2010-10,14.287,
2011-01,15.263,
2011-04,12.069,
2011-07,7.424,
2011-10,7.409,
2012-01,10.040,
2012-04,10.800,
2012-07,13.716,
2012-10,13.660,
2013-01,11.693,
2013-04,10.137,
2013-07,9.633,
2013-10,15.085,
2014-01,14.157,
2014-04,13.939,
2014-07,14.182,
