"",BBFB1.Q.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Goods / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:34,
1991-01,76.60,
1991-04,76.90,
1991-07,78.71,
1991-10,76.88,
1992-01,77.53,
1992-04,75.57,
1992-07,74.59,
1992-10,72.85,
1993-01,67.51,
1993-04,65.96,
1993-07,66.89,
1993-10,67.11,
1994-01,69.24,
1994-04,71.68,
1994-07,73.00,
1994-10,76.06,
1995-01,76.92,
1995-04,77.79,
1995-07,77.74,
1995-10,78.90,
1996-01,80.32,
1996-04,79.55,
1996-07,79.53,
1996-10,83.83,
1997-01,88.05,
1997-04,88.00,
1997-07,92.78,
1997-10,93.78,
1998-01,98.27,
1998-04,98.05,
1998-07,96.28,
1998-10,93.65,
1999-01,98.01,
1999-04,100.68,
1999-07,105.26,
1999-10,105.48,
2000-01,114.48,
2000-04,119.60,
2000-07,127.46,
2000-10,136.04,
2001-01,128.19,
2001-04,128.09,
2001-07,124.11,
2001-10,119.19,
2002-01,114.16,
2002-04,118.50,
2002-07,117.59,
2002-10,120.92,
2003-01,124.67,
2003-04,120.97,
2003-07,120.02,
2003-10,125.14,
2004-01,126.68,
2004-04,130.07,
2004-07,135.76,
2004-10,137.92,
2005-01,134.13,
2005-04,142.94,
2005-07,147.81,
2005-10,156.49,
2006-01,164.13,
2006-04,168.20,
2006-07,171.76,
2006-10,176.45,
2007-01,179.61,
2007-04,180.18,
2007-07,183.00,
2007-10,184.39,
2008-01,190.80,
2008-04,190.35,
2008-07,198.79,
2008-10,183.86,
2009-01,162.95,
2009-04,149.62,
2009-07,157.69,
2009-10,158.82,
2010-01,170.98,
2010-04,189.76,
2010-07,194.65,
2010-10,199.74,
2011-01,211.31,
2011-04,218.08,
2011-07,218.54,
2011-10,217.12,
2012-01,220.22,
2012-04,219.86,
2012-07,219.53,
2012-10,218.33,
2013-01,216.67,
2013-04,217.14,
2013-07,222.54,
2013-10,221.65,
2014-01,222.06,
2014-04,222.13,
2014-07,223.91,
2014-10,226.90,
