"",BBK01.OEAF23G,BBK01.OEAF23G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:48,
2002-01,8.119,
2002-04,8.139,
2002-07,8.156,
2002-10,8.328,
2003-01,8.360,
2003-04,8.704,
2003-07,8.984,
2003-10,9.328,
2004-01,9.243,
2004-04,9.486,
2004-07,9.605,
2004-10,9.721,
2005-01,9.621,
2005-04,9.689,
2005-07,9.668,
2005-10,9.533,
2006-01,9.257,
2006-04,8.931,
2006-07,8.851,
2006-10,8.681,
2007-01,8.421,
2007-04,8.058,
2007-07,7.833,
2007-10,7.533,
2008-01,7.184,
2008-04,6.947,
2008-07,6.639,
2008-10,6.272,
2009-01,5.993,
2009-04,5.943,
2009-07,6.033,
2009-10,5.941,
2010-01,5.869,
2010-04,5.865,
2010-07,5.977,
2010-10,6.006,
2011-01,6.421,
2011-04,6.426,
2011-07,6.451,
2011-10,6.421,
2012-01,6.439,
2012-04,6.492,
2012-07,6.508,
2012-10,6.453,
2013-01,6.312,
2013-04,6.285,
2013-07,6.224,
2013-10,6.086,
2014-01,5.913,
2014-04,5.780,
2014-07,5.689,
