"",BBK01.OEXB09O,BBK01.OEXB09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:11,
2002-01,-5.091,
2002-04,-5.755,
2002-07,-5.723,
2002-10,-5.413,
2003-01,-5.425,
2003-04,-5.795,
2003-07,-5.339,
2003-10,-5.857,
2004-01,-5.351,
2004-04,-5.603,
2004-07,-5.286,
2004-10,-5.605,
2005-01,1.152,
2005-04,1.123,
2005-07,1.176,
2005-10,1.201,
2006-01,1.266,
2006-04,1.212,
2006-07,1.308,
2006-10,1.423,
2007-01,1.475,
2007-04,1.443,
2007-07,1.599,
2007-10,1.710,
2008-01,1.737,
2008-04,1.669,
2008-07,1.749,
2008-10,1.509,
2009-01,2.231,
2009-04,1.998,
2009-07,2.106,
2009-10,2.134,
2010-01,1.594,
2010-04,1.611,
2010-07,1.995,
2010-10,2.261,
2011-01,2.069,
2011-04,2.012,
2011-07,2.088,
2011-10,2.119,
2012-01,2.121,
2012-04,2.154,
2012-07,2.076,
2012-10,2.152,
2013-01,2.090,
2013-04,2.171,
2013-07,2.039,
2013-10,2.061,
2014-01,2.035,
2014-04,1.951,
2014-07,2.089,
