"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.NL.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.NL.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Netherlands,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:33,
2009-09,56723,
2009-10,56824,
2009-11,58012,
2009-12,59354,
2010-01,64702,
2010-02,65231,
2010-03,66463,
2010-04,63379,
2010-05,63833,
2010-06,65029,
2010-07,65831,
2010-08,66734,
2010-09,66868,
2010-10,66823,
2010-11,65784,
2010-12,67303,
2011-01,67727,
2011-02,67486,
2011-03,67609,
2011-04,67248,
2011-05,67289,
2011-06,66926,
2011-07,67049,
2011-08,66932,
2011-09,66368,
2011-10,67617,
2011-11,65983,
2011-12,67348,
2012-01,68029,
2012-02,68967,
2012-03,69936,
2012-04,69855,
2012-05,70632,
2012-06,71330,
2012-07,75006,
2012-08,76462,
2012-09,76881,
2012-10,76758,
2012-11,76888,
2012-12,77595,
2013-01,76836,
2013-02,76976,
2013-03,78724,
2013-04,79754,
2013-05,81082,
2013-06,79356,
2013-07,80786,
2013-08,79778,
2013-09,80221,
2013-10,81055,
2013-11,80659,
2013-12,79943,
2014-01,80281,
2014-02,80709,
2014-03,82735,
2014-04,83007,
2014-05,84130,
2014-06,83450,
2014-07,83071,
2014-08,84484,
2014-09,83554,
2014-10,82867,
2014-11,83238,
