"",BBK01.OEYJ02O,BBK01.OEYJ02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:38,
2002-01,0.639,
2002-04,0.537,
2002-07,0.750,
2002-10,0.810,
2003-01,0.924,
2003-04,1.125,
2003-07,0.870,
2003-10,1.691,
2004-01,1.038,
2004-04,1.254,
2004-07,0.788,
2004-10,0.500,
2005-01,1.015,
2005-04,1.011,
2005-07,0.955,
2005-10,0.701,
2006-01,1.202,
2006-04,1.375,
2006-07,1.117,
2006-10,1.079,
2007-01,0.935,
2007-04,1.327,
2007-07,1.475,
2007-10,0.800,
2008-01,1.374,
2008-04,1.101,
2008-07,0.970,
2008-10,0.419,
2009-01,0.469,
2009-04,0.506,
2009-07,0.544,
2009-10,0.835,
2010-01,0.787,
2010-04,1.252,
2010-07,1.061,
2010-10,1.101,
2011-01,1.083,
2011-04,1.521,
2011-07,1.212,
2011-10,1.201,
2012-01,1.143,
2012-04,1.094,
2012-07,1.384,
2012-10,1.398,
2013-01,1.743,
2013-04,1.758,
2013-07,1.850,
2013-10,1.932,
2014-01,1.771,
2014-04,1.630,
2014-07,1.941,
