"",BBK01.QUB243,BBK01.QUB243_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:14:30,
2007-12,0.000,
2008-01,0.013,
2008-02,0.005,
2008-03,0.013,
2008-04,0.008,
2008-05,0.007,
2008-06,0.012,
2008-07,0.014,
2008-08,0.009,
2008-09,0.007,
2008-10,0.017,
2008-11,0.026,
2008-12,0.022,
2009-01,0.012,
2009-02,0.011,
2009-03,0.014,
2009-04,0.013,
2009-05,0.020,
2009-06,0.019,
2009-07,0.024,
2009-08,0.032,
2009-09,0.045,
2009-10,0.005,
2009-11,0.008,
2009-12,0.003,
2010-01,0.005,
2010-02,0.009,
2010-03,0.008,
2010-04,0.008,
2010-05,0.009,
2010-06,0.010,
2010-07,0.006,
2010-08,0.008,
2010-09,0.007,
2010-10,0.008,
2010-11,0.009,
2010-12,0.007,
2011-01,0.006,
2011-02,0.011,
2011-03,0.005,
2011-04,0.007,
2011-05,0.007,
2011-06,0.007,
2011-07,0.008,
2011-08,0.011,
2011-09,0.009,
2011-10,0.006,
2011-11,0.019,
2011-12,0.005,
2012-01,0.006,
2012-02,0.005,
2012-03,0.008,
2012-04,0.007,
2012-05,0.009,
2012-06,0.009,
2012-07,0.012,
2012-08,0.010,
2012-09,0.008,
2012-10,0.009,
2012-11,0.009,
2012-12,0.020,
2013-01,0.008,
2013-02,0.010,
2013-03,0.005,
2013-04,0.011,
2013-05,0.017,
2013-06,0.014,
2013-07,0.025,
2013-08,0.018,
2013-09,0.023,
2013-10,0.029,
2013-11,0.039,
2013-12,0.034,
2014-01,0.022,
2014-02,0.023,
2014-03,0.019,
2014-04,0.015,
2014-05,0.016,
2014-06,0.026,
2014-07,0.012,
2014-08,0.007,
2014-09,0.014,
2014-10,0.034,
2014-11,0.025,
