"",BBFN1.M.DE.N.1.A.TR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Turkey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:36,
1975-12,0.007,
1976-01,0.010,
1976-02,0.011,
1976-03,0.011,
1976-04,0.011,
1976-05,0.010,
1976-06,0.011,
1976-07,0.012,
1976-08,0.011,
1976-09,0.011,
1976-10,0.012,
1976-11,0.012,
1976-12,0.010,
1977-01,0.009,
1977-02,0.009,
1977-03,0.008,
1977-04,0.010,
1977-05,0.012,
1977-06,0.013,
1977-07,0.026,
1977-08,0.024,
1977-09,0.020,
1977-10,0.021,
1977-11,0.021,
1977-12,0.022,
1978-01,0.029,
1978-02,0.025,
1978-03,0.026,
1978-04,0.018,
1978-05,0.021,
1978-06,0.023,
1978-07,0.023,
1978-08,0.026,
1978-09,0.027,
1978-10,0.028,
1978-11,0.028,
1978-12,0.030,
1979-01,0.030,
1979-02,0.030,
1979-03,0.031,
1979-04,0.034,
1979-05,0.014,
1979-06,0.014,
1979-07,0.015,
1979-08,0.016,
1979-09,0.021,
1979-10,0.022,
1979-11,0.023,
1979-12,0.024,
1980-01,0.026,
1980-02,0.023,
1980-03,0.021,
1980-04,0.024,
1980-05,0.022,
1980-06,0.032,
1980-07,0.037,
1980-08,0.037,
1980-09,0.042,
1980-10,0.033,
1980-11,0.035,
1980-12,0.044,
1981-01,0.044,
1981-02,0.049,
1981-03,0.047,
1981-04,0.048,
1981-05,0.049,
1981-06,0.046,
1981-07,0.042,
1981-08,0.044,
1981-09,0.042,
1981-10,0.047,
1981-11,0.048,
1981-12,0.044,
1982-01,0.013,
1982-02,0.038,
1982-03,0.037,
1982-04,0.034,
1982-05,0.034,
1982-06,0.033,
1982-07,0.030,
1982-08,0.029,
1982-09,0.029,
1982-10,0.021,
1982-11,0.023,
1982-12,0.021,
1983-01,0.020,
1983-02,0.019,
1983-03,0.017,
1983-04,0.016,
1983-05,0.015,
1983-06,0.012,
1983-07,0.013,
1983-08,0.009,
1983-09,0.009,
1983-10,0.008,
1983-11,0.011,
1983-12,0.009,
1984-01,0.012,
1984-02,0.013,
1984-03,0.012,
1984-04,0.010,
1984-05,0.010,
1984-06,0.010,
1984-07,0.010,
1984-08,0.011,
1984-09,0.011,
1984-10,0.009,
1984-11,0.010,
1984-12,0.011,
1985-01,0.012,
1985-02,0.012,
1985-03,0.012,
1985-04,0.014,
1985-05,0.016,
1985-06,0.015,
1985-07,0.016,
1985-08,0.014,
1985-09,0.016,
1985-10,0.017,
1985-11,0.019,
1985-12,0.021,
1986-01,0.021,
1986-02,0.019,
1986-03,0.021,
1986-04,0.019,
1986-05,0.021,
1986-06,0.019,
1986-07,0.019,
1986-08,0.017,
1986-09,0.021,
1986-10,0.031,
1986-11,0.034,
1986-12,0.040,
1987-01,0.045,
1987-02,0.048,
1987-03,0.046,
1987-04,0.048,
1987-05,0.042,
1987-06,0.049,
1987-07,0.053,
1987-08,0.055,
1987-09,0.053,
1987-10,0.039,
1987-11,0.042,
1987-12,0.040,
1988-01,0.042,
1988-02,0.044,
1988-03,0.043,
1988-04,0.043,
1988-05,0.048,
1988-06,0.050,
1988-07,0.057,
1988-08,0.055,
1988-09,0.051,
1988-10,0.043,
1988-11,0.042,
1988-12,0.040,
1989-01,0.041,
1989-02,0.044,
1989-03,0.046,
1989-04,0.048,
1989-05,0.051,
1989-06,0.051,
1989-07,0.048,
1989-08,0.051,
1989-09,0.042,
1989-10,0.042,
1989-11,0.041,
1989-12,0.043,
1990-01,0.043,
1990-02,0.043,
1990-03,0.038,
1990-04,0.043,
1990-05,0.041,
1990-06,0.043,
1990-07,0.045,
1990-08,0.048,
1990-09,0.049,
1990-10,0.044,
1990-11,0.047,
1990-12,0.047,
1991-01,0.047,
1991-02,0.044,
1991-03,0.058,
1991-04,0.044,
1991-05,0.049,
1991-06,0.051,
1991-07,0.051,
1991-08,0.058,
1991-09,0.057,
1991-10,0.054,
1991-11,0.045,
1991-12,0.042,
1992-01,0.037,
1992-02,0.040,
1992-03,0.041,
1992-04,0.045,
1992-05,0.046,
1992-06,0.043,
1992-07,0.046,
1992-08,0.039,
1992-09,0.037,
1992-10,0.039,
1992-11,0.037,
1992-12,0.040,
1993-01,0.038,
1993-02,0.037,
1993-03,0.037,
1993-04,0.038,
1993-05,0.042,
1993-06,0.051,
1993-07,0.042,
1993-08,0.046,
1993-09,0.052,
1993-10,0.053,
1993-11,0.046,
1993-12,0.051,
1994-01,0.049,
1994-02,0.049,
1994-03,0.046,
1994-04,0.046,
1994-05,0.046,
1994-06,0.044,
1994-07,0.049,
1994-08,0.046,
1994-09,0.050,
1994-10,0.050,
1994-11,0.055,
1994-12,0.055,
1995-01,0.053,
1995-02,0.049,
1995-03,0.056,
1995-04,0.052,
1995-05,0.061,
1995-06,0.067,
1995-07,0.063,
1995-08,0.065,
1995-09,0.065,
1995-10,0.062,
1995-11,0.055,
1995-12,0.050,
1996-01,0.049,
1996-02,0.048,
1996-03,0.051,
1996-04,0.044,
1996-05,0.049,
1996-06,0.046,
1996-07,0.050,
1996-08,0.051,
1996-09,0.056,
1996-10,0.065,
1996-11,0.062,
1996-12,0.052,
1997-01,0.058,
1997-02,0.057,
1997-03,0.046,
1997-04,0.055,
