"",BBEX3.M.PKR.EUR.CA.AA.A01,BBEX3.M.PKR.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Pakistan / EUR 1 = PKR ... (buying),
unit,PKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:12,
1999-06,52.6347,
1999-07,54.3641,
1999-08,53.6667,
1999-09,54.7048,
1999-10,54.1447,
1999-11,52.0243,
1999-12,51.9208,
2000-01,50.1304,
2000-02,50.0164,
2000-03,49.3436,
2000-04,46.6095,
2000-05,47.9464,
2000-06,49.2293,
2000-07,49.3928,
2000-08,48.9863,
2000-09,51.5639,
2000-10,48.0100,
2000-11,49.4810,
2000-12,54.4389,
2001-01,54.4488,
2001-02,54.9480,
2001-03,53.1623,
2001-04,54.1424,
2001-05,53.8461,
2001-06,54.2597,
2001-07,55.8943,
2001-08,58.5429,
2001-09,58.0562,
2001-10,55.5476,
2001-11,53.6332,
2001-12,52.9793,
2002-01,51.4890,
2002-02,51.8015,
2002-03,52.3963,
2002-04,54.0749,
2002-05,56.1790,
2002-06,59.3369,
2002-07,58.4912,
2002-08,58.0262,
2002-09,58.1600,
2002-10,58.0709,
2002-11,58.0300,
2002-12,61.0227,
2003-01,62.9033,
2003-02,62.4940,
2003-03,62.6299,
2003-04,64.1376,
2003-05,67.7508,
2003-06,66.0660,
2003-07,65.2560,
2003-08,63.3875,
2003-09,67.4233,
2003-10,66.6400,
2003-11,67.5768,
2003-12,72.1659,
2004-01,71.1075,
2004-02,71.4828,
2004-03,69.5400,
2004-04,68.7461,
2004-05,70.8159,
2004-06,71.0331,
2004-07,70.5188,
2004-08,71.0263,
2004-09,72.8970,
2004-10,78.3721,
2004-11,79.6304,
2004-12,81.0474,
2005-01,77.1900,
2005-02,78.5800,
2005-03,76.6500,
2005-04,76.7000,
2005-05,73.8000,
2005-06,72.0100,
2005-07,72.2200,
2005-08,72.8700,
2005-09,71.9200,
2005-10,71.9300,
2005-11,70.3600,
2005-12,70.9300,
2006-01,72.3400,
2006-02,70.9900,
2006-03,72.8200,
2006-04,75.1600,
2006-05,77.3800,
2006-06,76.5000,
2006-07,76.9500,
2006-08,77.3500,
2006-09,76.8900,
2006-10,76.9300,
2006-11,79.9700,
2006-12,80.0300,
2007-01,78.5400,
2007-02,80.0900,
2007-03,80.9700,
2007-04,82.7000,
2007-05,81.4400,
2007-06,81.2400,
2007-07,82.7100,
2007-08,80.8200,
2007-09,85.8300,
2007-10,87.5000,
2007-11,89.9700,
2007-12,90.4700,
2008-01,92.7600,
2008-02,94.7200,
2008-03,99.0100,
2008-04,100.2600,
2008-05,103.6600,
2008-06,107.3300,
2008-07,111.0300,
2008-08,111.4300,
2008-09,111.8700,
2008-10,104.3400,
2008-11,101.2500,
2008-12,110.8300,
2009-01,101.6000,
2009-02,101.2900,
2009-03,106.4300,
2009-04,106.8400,
2009-05,114.1500,
2009-06,114.5400,
2009-07,117.2300,
2009-08,118.3600,
2009-09,121.5500,
2009-10,124.0200,
2009-11,125.8800,
2009-12,120.8100,
2010-01,117.9500,
2010-02,115.2900,
2010-03,112.5900,
2010-04,111.2000,
2010-05,104.5600,
2010-06,104.3300,
2010-07,111.6800,
2010-08,109.0800,
2010-09,116.9300,
2010-10,119.2100,
2010-11,112.2000,
2010-12,113.9300,
2011-01,116.4000,
2011-02,117.5600,
2011-03,120.2000,
2011-04,125.4600,
2011-05,123.2400,
2011-06,124.6000,
2011-07,123.6900,
2011-08,126.3400,
2011-09,118.0000,
2011-10,121.0200,
2011-11,117.1900,
2011-12,115.9600,
2012-01,118.7000,
2012-02,122.1800,
2012-03,120.8000,
2012-04,119.9800,
2012-05,115.0500,
2012-06,118.2500,
2012-07,116.0800,
2012-08,117.9800,
2012-09,122.1900,
2012-10,123.9000,
2012-11,125.1600,
2012-12,128.0500,
2013-01,132.2100,
2013-02,128.6700,
2013-03,125.8500,
2013-04,128.5400,
2013-05,128.1100,
2013-06,128.8500,
2013-07,134.5700,
2013-08,137.7200,
2013-09,142.2000,
2013-10,145.8600,
2013-11,147.0500,
2013-12,144.8300,
2014-01,142.2800,
2014-02,143.4900,
2014-03,134.3000,
2014-04,135.3200,
2014-05,133.7500,
2014-06,134.4600,
2014-07,132.1600,
2014-08,133.5100,
2014-09,130.1100,
2014-10,129.5500,
2014-11,126.2400,
2014-12,122.1300,
2015-01,114.1800,
"","General: Before June 1999, only exchange rates for the US dollar were available.",
"","Source: Since 2005 National Bank of Pakistan, Karachi December 2001 - December 2004 Deutsche Bank, Private Banking Centre Karachi September 2000 - November 2001 Standard Chartered Grindlays Bank Ltd., Karachi June 1999 - August 2000 ANZ Grindlays Bank, Karachi",
