"",BBK01.OEAC06M,BBK01.OEAC06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:07,
2002-01,6.246,
2002-04,6.389,
2002-07,6.375,
2002-10,6.266,
2003-01,6.326,
2003-04,6.561,
2003-07,6.697,
2003-10,6.483,
2004-01,6.516,
2004-04,6.622,
2004-07,6.714,
2004-10,6.530,
2005-01,6.449,
2005-04,6.577,
2005-07,6.712,
2005-10,6.576,
2006-01,6.643,
2006-04,6.972,
2006-07,7.116,
2006-10,7.056,
2007-01,7.051,
2007-04,7.294,
2007-07,7.425,
2007-10,7.295,
2008-01,7.376,
2008-04,7.304,
2008-07,7.517,
2008-10,7.399,
2009-01,7.454,
2009-04,7.621,
2009-07,8.010,
2009-10,8.074,
2010-01,8.973,
2010-04,9.478,
2010-07,9.813,
2010-10,9.014,
2011-01,9.117,
2011-04,9.330,
2011-07,9.600,
2011-10,9.627,
2012-01,9.769,
2012-04,10.028,
2012-07,10.242,
2012-10,10.221,
2013-01,10.334,
2013-04,10.607,
2013-07,10.758,
2013-10,10.800,
2014-01,10.891,
2014-04,11.123,
2014-07,11.371,
