"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CH.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CH.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Switzerland / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:02,
2009-09,177,
2009-10,176,
2009-11,177,
2009-12,175,
2010-01,91,
2010-02,91,
2010-03,96,
2010-04,96,
2010-05,97,
2010-06,106,
2010-07,102,
2010-08,72,
2010-09,76,
2010-10,73,
2010-11,19,
2010-12,21,
2011-01,20,
2011-02,32,
2011-03,45,
2011-04,47,
2011-05,53,
2011-06,67,
2011-07,72,
2011-08,62,
2011-09,83,
2011-10,64,
2011-11,77,
2011-12,85,
2012-01,133,
2012-02,132,
2012-03,134,
2012-04,144,
2012-05,160,
2012-06,162,
2012-07,159,
2012-08,102,
2012-09,86,
2012-10,85,
2012-11,86,
2012-12,92,
2013-01,88,
2013-02,92,
2013-03,86,
2013-04,87,
2013-05,88,
2013-06,94,
2013-07,99,
2013-08,98,
2013-09,99,
2013-10,97,
2013-11,107,
2013-12,130,
2014-01,145,
2014-02,146,
2014-03,136,
2014-04,137,
2014-05,156,
2014-06,158,
2014-07,165,
2014-08,182,
2014-09,181,
2014-10,175,
2014-11,177,
