"",BBK01.OEAN06L,BBK01.OEAN06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:59,
2002-01,7.518,
2002-04,7.204,
2002-07,7.264,
2002-10,7.240,
2003-01,7.007,
2003-04,6.611,
2003-07,6.445,
2003-10,6.727,
2004-01,6.810,
2004-04,6.494,
2004-07,6.390,
2004-10,6.670,
2005-01,6.691,
2005-04,6.459,
2005-07,6.262,
2005-10,6.163,
2006-01,6.141,
2006-04,6.458,
2006-07,6.957,
2006-10,7.658,
2007-01,8.267,
2007-04,8.295,
2007-07,8.264,
2007-10,8.234,
2008-01,7.601,
2008-04,6.908,
2008-07,6.650,
2008-10,7.532,
2009-01,7.932,
2009-04,8.539,
2009-07,9.093,
2009-10,9.577,
2010-01,9.508,
2010-04,8.754,
2010-07,7.834,
2010-10,7.466,
2011-01,7.246,
2011-04,7.042,
2011-07,6.857,
2011-10,6.651,
2012-01,6.321,
2012-04,5.998,
2012-07,5.452,
2012-10,5.043,
2013-01,4.608,
2013-04,4.237,
2013-07,3.988,
2013-10,4.050,
2014-01,4.166,
2014-04,4.178,
2014-07,4.331,
