"",BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:53,
1991-01,1803.416,
1991-04,83.194,
1991-07,130.531,
1991-10,755.243,
1992-01,-92.200,
1992-04,65.396,
1992-07,1236.442,
1992-10,1372.449,
1993-01,-529.823,
1993-04,1072.322,
1993-07,1846.221,
1993-10,1998.633,
1994-01,-156.297,
1994-04,-997.537,
1994-07,-887.198,
1994-10,148.669,
1995-01,-152.328,
1995-04,-793.755,
1995-07,734.655,
1995-10,1718.848,
1996-01,-1331.299,
1996-04,103.306,
1996-07,660.771,
1996-10,1314.674,
1997-01,-502.022,
1997-04,-426.342,
1997-07,-178.971,
1997-10,779.655,
1998-01,-283.079,
1998-04,1845.173,
1998-07,1845.882,
1998-10,1137.387,
1999-01,-1272.391,
1999-04,-443.731,
1999-07,65.955,
1999-10,2047.463,
2000-01,540.233,
2000-04,243.705,
2000-07,36.803,
2000-10,558.877,
2001-01,6068.011,
2001-04,2182.546,
2001-07,1324.721,
2001-10,1295.283,
2002-01,307.244,
2002-04,904.790,
2002-07,2156.418,
2002-10,-287.446,
2003-01,-1072.636,
2003-04,682.491,
2003-07,70.800,
2003-10,371.454,
2004-01,760.795,
2004-04,2845.467,
2004-07,-1476.015,
2004-10,-475.797,
2005-01,6907.018,
2005-04,59.779,
2005-07,2397.726,
2005-10,2870.127,
2006-01,1110.503,
2006-04,2826.811,
2006-07,2321.548,
2006-10,6753.884,
2007-01,3368.411,
2007-04,1277.188,
2007-07,3340.421,
2007-10,7360.822,
2008-01,8125.021,
2008-04,134.157,
2008-07,4147.701,
2008-10,8512.510,
2009-01,3290.348,
2009-04,3158.691,
2009-07,3061.177,
2009-10,175.869,
2010-01,-359.825,
2010-04,-218.352,
2010-07,-696.645,
2010-10,-1511.246,
2011-01,-1147.345,
2011-04,-1717.415,
2011-07,1379.613,
2011-10,2317.390,
2012-01,11472.251,
2012-04,9553.306,
2012-07,1793.998,
2012-10,10141.801,
2013-01,-3252.335,
2013-04,4444.889,
2013-07,-2900.806,
2013-10,-6192.642,
2014-01,-3565.791,Provisional value
2014-04,381.375,Provisional value
2014-07,-1060.595,Provisional value
2014-10,-3103.281,Provisional value
