"",BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:16,
1991-01,-5.559,
1991-04,0.436,
1991-07,-0.452,
1991-10,-6.431,
1992-01,0.364,
1992-04,-17.759,
1992-07,0.524,
1992-10,-53.234,
1993-01,-1.600,
1993-04,1.588,
1993-07,-12.234,
1993-10,-51.696,
1994-01,22.216,
1994-04,-20.725,
1994-07,173.929,
1994-10,25.275,
1995-01,-5.533,
1995-04,-17.341,
1995-07,-99.708,
1995-10,4.764,
1996-01,0.528,
1996-04,19.430,
1996-07,-8.577,
1996-10,0.511,
1997-01,-2.545,
1997-04,128.860,
1997-07,80.877,
1997-10,2.465,
1998-01,2.454,
1998-04,-35.021,
1998-07,-41.214,
1998-10,34.454,
1999-01,-25.654,
1999-04,20.375,
1999-07,-69.695,
1999-10,30.611,
2000-01,-19.484,
2000-04,-36.808,
2000-07,-1.988,
2000-10,-2.545,
2001-01,0.743,
2001-04,48.306,
2001-07,-82.019,
2001-10,2.949,
2002-01,-4.033,
2002-04,-61.978,
2002-07,-1.630,
2002-10,-3.008,
2003-01,10.221,
2003-04,12.141,
2003-07,19.325,
2003-10,66.253,
2004-01,-31.241,
2004-04,19.052,
2004-07,40.417,
2004-10,208.424,
2005-01,-44.101,
2005-04,76.899,
2005-07,105.910,
2005-10,-5.760,
2006-01,200.050,
2006-04,412.411,
2006-07,-11.699,
2006-10,418.925,
2007-01,-615.735,
2007-04,-74.250,
2007-07,-154.590,
2007-10,-35.082,
2008-01,-21.373,
2008-04,297.441,
2008-07,180.652,
2008-10,256.011,
2009-01,232.751,
2009-04,248.660,
2009-07,-27.931,
2009-10,-62.776,
2010-01,-75.165,
2010-04,-190.563,
2010-07,2157.380,
2010-10,73.993,
2011-01,242.724,
2011-04,-252.062,
2011-07,-92.524,
2011-10,36.500,
2012-01,109.069,
2012-04,-28.746,
2012-07,-85.918,
2012-10,242.696,
2013-01,-15.187,
2013-04,125.603,
2013-07,110.335,
2013-10,232.358,
2014-01,247.740,Provisional value
2014-04,225.707,Provisional value
2014-07,325.167,Provisional value
2014-10,57.639,Provisional value
