"",BBK01.CEL403,BBK01.CEL403_FLAGS
"",Loans                                                           debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:14,
1999-01,70.7,
1999-04,31.5,
1999-07,47.3,
1999-10,67.9,
2000-01,7.2,
2000-04,40.2,
2000-07,9.8,
2000-10,28.1,
2001-01,69.7,
2001-04,-22.0,
2001-07,26.0,
2001-10,-8.4,
2002-01,27.1,
2002-04,-14.4,
2002-07,25.9,
2002-10,-10.2,
2003-01,16.4,
2003-04,-23.6,
2003-07,18.1,
2003-10,16.1,
2004-01,18.4,
2004-04,-58.1,
2004-07,51.1,
2004-10,-11.6,
2005-01,-1.2,
2005-04,-13.2,
2005-07,24.3,
2005-10,3.0,
2006-01,-10.0,
2006-04,-2.0,
2006-07,55.0,
2006-10,-46.0,
2007-01,48.9,
2007-04,16.2,
2007-07,64.7,
2007-10,39.4,
2008-01,78.5,
2008-04,23.4,
2008-07,46.3,
2008-10,-16.5,
2009-01,30.7,
2009-04,28.7,
2009-07,-17.6,
2009-10,-43.4,
2010-01,16.0,
2010-04,83.9,
2010-07,30.1,
2010-10,69.5,
2011-01,-20.0,
2011-04,15.4,
2011-07,142.3,
2011-10,-15.0,
2012-01,175.5,
2012-04,118.3,
2012-07,-12.7,
2012-10,-87.9,
2013-01,-52.2,
2013-04,-17.9,
2013-07,-42.2,
2013-10,-69.8,
2014-01,-33.2,
2014-04,3.8,
2014-07,23.5,
