"",BBK01.OEBI06K,BBK01.OEBI06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:46,
2002-01,0.294,
2002-04,0.304,
2002-07,0.320,
2002-10,0.319,
2003-01,0.301,
2003-04,0.288,
2003-07,0.283,
2003-10,0.277,
2004-01,0.277,
2004-04,0.256,
2004-07,0.240,
2004-10,0.231,
2005-01,0.247,
2005-04,0.243,
2005-07,0.238,
2005-10,0.230,
2006-01,0.236,
2006-04,0.228,
2006-07,0.245,
2006-10,0.255,
2007-01,0.250,
2007-04,0.259,
2007-07,0.258,
2007-10,0.312,
2008-01,0.353,
2008-04,0.404,
2008-07,0.451,
2008-10,0.542,
2009-01,0.638,
2009-04,0.552,
2009-07,0.479,
2009-10,0.385,
2010-01,0.346,
2010-04,0.447,
2010-07,0.491,
2010-10,0.505,
2011-01,0.545,
2011-04,0.650,
2011-07,0.718,
2011-10,0.723,
2012-01,0.729,
2012-04,0.751,
2012-07,0.768,
2012-10,0.787,
2013-01,0.739,
2013-04,0.647,
2013-07,0.624,
2013-10,0.619,
2014-01,0.631,
2014-04,0.632,
2014-07,0.598,
