"",BBK01.TQ7010,BBK01.TQ7010_FLAGS
"",Deposit takers - Liquid assets to total assets (liquid asset ratio)                    FSI-I010,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:25,
2005-10,53.26,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,53.40,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,55.28,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,47.54,
2009-01,47.16,
2009-04,47.79,
2009-07,49.15,
2009-10,49.08,
2010-01,49.66,
2010-04,50.45,
2010-07,49.63,
2010-10,41.10,
2011-01,40.19,
2011-04,43.00,
2011-07,41.06,
2011-10,39.56,
2012-01,42.60,
2012-04,40.47,
2012-07,41.48,
2012-10,39.74,
2013-01,42.87,
2013-04,44.70,
2013-07,45.04,
2013-10,45.04,
2014-01,45.19,
2014-04,45.17,
2014-07,44.72,
