"",BBK01.OECL04L,BBK01.OECL04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:39,
2002-01,2.045,
2002-04,1.771,
2002-07,1.708,
2002-10,1.775,
2003-01,1.637,
2003-04,1.424,
2003-07,1.454,
2003-10,1.417,
2004-01,1.405,
2004-04,1.385,
2004-07,1.218,
2004-10,1.548,
2005-01,1.408,
2005-04,1.352,
2005-07,1.569,
2005-10,1.680,
2006-01,1.851,
2006-04,1.802,
2006-07,2.017,
2006-10,2.319,
2007-01,2.251,
2007-04,2.351,
2007-07,2.840,
2007-10,3.418,
2008-01,3.662,
2008-04,3.932,
2008-07,4.429,
2008-10,3.815,
2009-01,3.054,
2009-04,2.739,
2009-07,2.115,
2009-10,1.636,
2010-01,1.136,
2010-04,1.033,
2010-07,0.875,
2010-10,0.718,
2011-01,0.809,
2011-04,0.788,
2011-07,0.883,
2011-10,0.910,
2012-01,0.923,
2012-04,0.911,
2012-07,1.001,
2012-10,0.723,
2013-01,0.645,
2013-04,0.707,
2013-07,0.679,
2013-10,0.639,
2014-01,0.653,
2014-04,0.826,
2014-07,1.308,
