"",BBK01.CEB20C,BBK01.CEB20C_FLAGS
"",Currency and deposits debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:06,
1991-01,149.5,
1991-04,153.4,
1991-07,149.9,
1991-10,158.9,
1992-01,153.5,
1992-04,158.1,
1992-07,161.8,
1992-10,148.0,
1993-01,144.7,
1993-04,158.3,
1993-07,157.7,
1993-10,163.7,
1994-01,154.2,
1994-04,154.8,
1994-07,153.5,
1994-10,157.3,
1995-01,147.4,
1995-04,148.6,
1995-07,149.4,
1995-10,156.1,
1996-01,149.3,
1996-04,150.2,
1996-07,147.3,
1996-10,156.7,
1997-01,151.0,
1997-04,151.9,
1997-07,150.5,
1997-10,157.0,
1998-01,152.9,
1998-04,157.5,
1998-07,156.9,
1998-10,161.9,
1999-01,153.7,
1999-04,158.0,
1999-07,155.1,
1999-10,166.4,
2000-01,158.4,
2000-04,174.4,
2000-07,205.7,
2000-10,211.5,
2001-01,174.7,
2001-04,176.4,
2001-07,172.1,
2001-10,170.3,
2002-01,160.8,
2002-04,161.5,
2002-07,153.3,
2002-10,154.5,
2003-01,151.4,
2003-04,158.3,
2003-07,150.7,
2003-10,153.8,
2004-01,150.4,
2004-04,154.8,
2004-07,151.9,
2004-10,147.9,
2005-01,140.2,
2005-04,145.5,
2005-07,144.2,
2005-10,153.6,
2006-01,145.8,
2006-04,173.8,
2006-07,180.8,
2006-10,185.5,
2007-01,171.8,
2007-04,208.6,
2007-07,183.8,
2007-10,197.4,
2008-01,187.9,
2008-04,210.7,
2008-07,198.3,
2008-10,199.0,
2009-01,197.9,
2009-04,244.7,
2009-07,212.8,
2009-10,196.8,
2010-01,186.9,
2010-04,193.1,
2010-07,196.5,
2010-10,232.8,
2011-01,232.2,
2011-04,251.6,
2011-07,256.0,
2011-10,260.7,
2012-01,267.8,
2012-04,302.1,
2012-07,294.9,
2012-10,277.2,
2013-01,255.0,
2013-04,259.4,
2013-07,252.2,
2013-10,256.4,
2014-01,257.9,
