"",BBK01.OEAI04V,BBK01.OEAI04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:28,
2002-01,10.056,
2002-04,8.500,
2002-07,8.353,
2002-10,11.143,
2003-01,6.861,
2003-04,6.634,
2003-07,7.169,
2003-10,6.908,
2004-01,6.335,
2004-04,5.544,
2004-07,5.605,
2004-10,6.588,
2005-01,5.767,
2005-04,6.030,
2005-07,5.333,
2005-10,5.494,
2006-01,5.519,
2006-04,5.710,
2006-07,5.955,
2006-10,6.260,
2007-01,6.551,
2007-04,6.735,
2007-07,6.864,
2007-10,7.939,
2008-01,8.097,
2008-04,8.201,
2008-07,8.757,
2008-10,8.902,
2009-01,6.819,
2009-04,5.795,
2009-07,4.724,
2009-10,4.823,
2010-01,4.304,
2010-04,4.377,
2010-07,4.048,
2010-10,4.112,
2011-01,4.169,
2011-04,4.168,
2011-07,4.854,
2011-10,5.454,
2012-01,5.399,
2012-04,6.397,
2012-07,6.284,
2012-10,6.107,
2013-01,6.074,
2013-04,5.617,
2013-07,6.002,
2013-10,6.212,
2014-01,5.777,
2014-04,6.200,
2014-07,6.037,
