"",BBK01.OXA8Q1,BBK01.OXA8Q1_FLAGS
"","Stocks of loans to non-MFIs (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:30,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,60.838,
2010-07,62.890,
2010-08,60.339,
2010-09,58.868,
2010-10,60.445,
2010-11,59.375,
2010-12,57.167,
2011-01,55.633,
2011-02,54.807,
2011-03,53.524,
2011-04,52.683,
2011-05,51.687,
2011-06,50.346,
2011-07,51.333,
2011-08,51.394,
2011-09,50.522,
2011-10,50.665,
2011-11,51.394,
2011-12,50.137,
2012-01,50.389,
2012-02,49.551,
2012-03,48.037,
2012-04,48.054,
2012-05,46.966,
2012-06,45.704,
2012-07,43.931,
2012-08,43.137,
2012-09,42.276,
2012-10,39.073,
2012-11,39.302,
2012-12,38.376,
2013-01,37.630,
2013-02,38.178,
2013-03,39.856,
2013-04,38.932,
2013-05,38.385,
2013-06,39.371,
2013-07,39.460,
2013-08,38.724,
2013-09,37.756,
2013-10,37.642,
2013-11,36.964,
2013-12,36.018,
2014-01,35.349,
2014-02,34.410,
2014-03,35.482,
2014-04,36.813,
2014-05,36.685,
2014-06,36.236,
2014-07,35.430,
2014-08,34.958,
2014-09,37.456,
2014-10,36.748,
2014-11,36.429,
2014-12,35.453,Provisional value
