"",BBFN1.M.DE.N.1.L.MT.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MT.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2007-08,0.011,
2007-09,0.011,
2007-10,0.048,
2007-11,0.048,
2007-12,0.048,
2008-01,0.048,
2008-02,0.248,
2008-03,0.248,
2008-04,0.248,
2008-05,0.259,
2008-06,0.259,
2008-07,0.259,
2008-08,0.259,
2008-09,0.279,
2008-10,0.279,
2008-11,0.279,
2008-12,0.279,
2009-01,0.279,
2009-02,0.279,
2009-03,0.279,
2009-04,0.279,
2009-05,0.279,
2009-06,0.727,
2009-07,0.727,
2009-08,0.697,
2009-09,0.704,
2009-10,0.724,
2009-11,0.724,
2009-12,0.731,
2010-01,0.731,
2010-02,0.731,
2010-03,0.733,
2010-04,0.733,
2010-05,0.734,
2010-06,0.740,
2010-07,0.766,
2010-08,0.766,
2010-09,0.773,
2010-10,0.729,
2010-11,0.729,
2010-12,0.807,
2011-01,0.806,
2011-02,0.807,
2011-03,0.812,
2011-04,0.812,
2011-05,0.811,
2011-06,0.817,
2011-07,1.788,
2011-08,1.775,
2011-09,1.783,
2011-10,1.782,
2011-11,1.782,
2011-12,1.784,
2012-01,1.778,
2012-02,1.781,
2012-03,1.799,
2012-04,1.787,
2012-05,1.788,
2012-06,1.859,
2012-07,1.856,
2012-08,0.882,
2012-09,0.890,
2012-10,0.890,
2012-11,0.888,
2012-12,0.882,
2013-01,0.881,
2013-02,1.016,
2013-03,1.038,
2013-04,1.022,
2013-05,1.004,
2013-06,1.000,
2013-07,1.006,
2013-08,1.006,
2013-09,1.013,
2013-10,1.052,
2013-11,0.527,
2013-12,0.544,
2014-01,0.544,
2014-02,0.604,
2014-03,0.550,
2014-04,0.543,
2014-05,0.530,
2014-06,0.554,
2014-07,0.553,
2014-08,0.554,
2014-09,0.548,
2014-10,0.550,
2014-11,0.550,
2014-12,0.530,
