"",BBK01.OEBK05K,BBK01.OEBK05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:17,
2002-01,0.051,
2002-04,0.049,
2002-07,0.057,
2002-10,0.051,
2003-01,0.042,
2003-04,0.042,
2003-07,0.040,
2003-10,0.043,
2004-01,0.042,
2004-04,0.042,
2004-07,0.036,
2004-10,0.038,
2005-01,0.013,
2005-04,0.012,
2005-07,0.012,
2005-10,0.012,
2006-01,0.009,
2006-04,0.018,
2006-07,0.008,
2006-10,0.002,
2007-01,0.003,
2007-04,0.004,
2007-07,0.004,
2007-10,0.007,
2008-01,0.005,
2008-04,0.007,
2008-07,0.005,
2008-10,0.005,
2009-01,0.008,
2009-04,0.009,
2009-07,0.015,
2009-10,0.015,
2010-01,0.016,
2010-04,0.018,
2010-07,0.016,
2010-10,0.016,
2011-01,0.018,
2011-04,0.011,
2011-07,0.009,
2011-10,0.009,
2012-01,0.013,
2012-04,0.011,
2012-07,0.012,
2012-10,0.010,
2013-01,0.012,
2013-04,0.015,
2013-07,0.016,
2013-10,0.015,
2014-01,0.013,
2014-04,0.012,
2014-07,0.013,
