"",BBFB1.Q.N.DE.IE.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:40,
1991-01,52.809,
1991-04,63.592,
1991-07,71.832,
1991-10,86.163,
1992-01,91.287,
1992-04,86.610,
1992-07,84.322,
1992-10,74.766,
1993-01,102.545,
1993-04,115.273,
1993-07,115.892,
1993-10,116.761,
1994-01,108.796,
1994-04,114.480,
1994-07,112.563,
1994-10,143.037,
1995-01,123.866,
1995-04,139.027,
1995-07,145.866,
1995-10,146.250,
1996-01,161.029,
1996-04,188.002,
1996-07,190.549,
1996-10,206.745,
1997-01,207.261,
1997-04,214.560,
1997-07,232.678,
1997-10,275.263,
1998-01,254.762,
1998-04,266.061,
1998-07,276.170,
1998-10,282.991,
1999-01,320.329,
1999-04,349.641,
1999-07,318.549,
1999-10,243.594,
2000-01,328.695,
2000-04,366.391,
2000-07,377.441,
2000-10,428.860,
2001-01,392.572,
2001-04,416.217,
2001-07,388.677,
2001-10,382.534,
2002-01,499.173,
2002-04,529.054,
2002-07,520.959,
2002-10,536.394,
2003-01,385.941,
2003-04,458.127,
2003-07,470.923,
2003-10,502.678,
2004-01,512.823,
2004-04,557.063,
2004-07,617.053,
2004-10,732.784,
2005-01,707.602,
2005-04,748.346,
2005-07,724.649,
2005-10,703.255,
2006-01,896.448,
2006-04,994.192,
2006-07,988.690,
2006-10,1022.177,
2007-01,1057.514,
2007-04,1144.027,
2007-07,1188.223,
2007-10,1258.586,
2008-01,1728.874,
2008-04,1041.960,
2008-07,813.406,
2008-10,1064.865,
2009-01,940.878,
2009-04,874.644,
2009-07,764.302,
2009-10,799.536,
2010-01,646.478,
2010-04,724.705,
2010-07,702.945,
2010-10,693.801,
2011-01,600.623,
2011-04,987.096,
2011-07,523.303,
2011-10,399.774,
2012-01,294.624,
2012-04,225.799,
2012-07,127.486,
2012-10,73.646,
2013-01,291.046,
2013-04,298.543,
2013-07,276.322,
2013-10,269.086,
2014-01,264.002,Provisional value
2014-04,282.633,Provisional value
2014-07,259.989,Provisional value
