"",BBFN1.M.DE.N.1.L.RO.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.RO.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Romania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:12,
1994-07,0.034,
1994-08,0.040,
1994-09,0.044,
1994-10,0.039,
1994-11,0.038,
1994-12,0.039,
1995-01,0.034,
1995-02,0.034,
1995-03,0.034,
1995-04,0.034,
1995-05,0.031,
1995-06,0.044,
1995-07,0.043,
1995-08,0.042,
1995-09,0.052,
1995-10,0.040,
1995-11,0.058,
1995-12,0.063,
1996-01,0.060,
1996-02,0.062,
1996-03,0.058,
1996-04,0.058,
1996-05,0.055,
1996-06,0.055,
1996-07,0.054,
1996-08,0.053,
1996-09,0.054,
1996-10,0.056,
1996-11,0.056,
1996-12,0.060,
1997-01,0.058,
1997-02,0.056,
1997-03,0.058,
1997-04,0.054,
1997-05,0.055,
1997-06,0.059,
1997-07,0.058,
1997-08,0.056,
1997-09,0.058,
1997-10,0.053,
1997-11,0.052,
1997-12,0.056,
1998-01,0.051,
1998-02,0.056,
1998-03,0.062,
1998-04,0.062,
1998-05,0.062,
1998-06,0.072,
1998-07,0.076,
1998-08,0.073,
1998-09,0.073,
1998-10,0.067,
1998-11,0.066,
1998-12,0.064,
1999-01,0.066,
1999-02,0.063,
1999-03,0.067,
1999-04,0.067,
1999-05,0.075,
1999-06,0.080,
1999-07,0.069,
1999-08,0.075,
1999-09,0.054,
1999-10,0.072,
1999-11,0.059,
1999-12,0.064,
2000-01,0.074,
2000-02,0.066,
2000-03,0.065,
2000-04,0.069,
2000-05,0.065,
2000-06,0.067,
2000-07,0.068,
2000-08,0.070,
2000-09,0.067,
2000-10,0.068,
2000-11,0.105,
2000-12,0.067,
2001-01,0.060,
2001-02,0.066,
2001-03,0.058,
2001-04,0.062,
2001-05,0.058,
2001-06,0.071,
2001-07,0.067,
2001-08,0.065,
2001-09,0.056,
2001-10,0.066,
2001-11,0.068,
2001-12,0.067,
2002-01,0.054,
2002-02,0.063,
2002-03,0.051,
2002-04,0.050,
2002-05,0.052,
2002-06,0.061,
2002-07,0.068,
2002-08,0.051,
2002-09,0.047,
2002-10,0.058,
2002-11,0.062,
2002-12,0.060,
2003-01,0.060,
2003-02,0.059,
2003-03,0.065,
2003-04,0.063,
2003-05,0.061,
2003-06,0.060,
2003-07,0.059,
2003-08,0.058,
2003-09,0.057,
2003-10,0.059,
2003-11,0.067,
2003-12,0.064,
2004-01,0.056,
2004-02,0.065,
2004-03,0.074,
2004-04,0.071,
2004-05,0.067,
2004-06,0.067,
2004-07,0.062,
2004-08,0.066,
2004-09,0.083,
2004-10,0.086,
2004-11,0.077,
2004-12,0.078,
2005-01,0.075,
2005-02,0.085,
2005-03,0.095,
2005-04,0.088,
2005-05,0.086,
2005-06,0.123,
2005-07,0.123,
2005-08,0.128,
2005-09,0.154,
2005-10,0.142,
2005-11,0.160,
2005-12,0.146,
2006-01,0.152,
2006-02,0.158,
2006-03,0.192,
2006-04,0.166,
2006-05,0.175,
2006-06,0.185,
2006-07,0.187,
2006-08,0.195,
2006-09,0.175,
2006-10,0.220,
2006-11,0.224,
2006-12,0.222,
2007-01,0.219,
2007-02,0.244,
2007-03,0.262,
2007-04,0.263,
2007-05,0.236,
2007-06,0.222,
2007-07,0.228,
2007-08,0.242,
2007-09,0.234,
2007-10,0.251,
2007-11,0.256,
2007-12,0.248,
2008-01,0.244,
2008-02,0.262,
2008-03,0.275,
2008-04,0.251,
2008-05,0.268,
2008-06,0.274,
2008-07,0.266,
2008-08,0.286,
2008-09,0.297,
2008-10,0.296,
2008-11,0.280,
2008-12,0.249,
2009-01,0.248,
2009-02,0.236,
2009-03,0.264,
2009-04,0.242,
2009-05,0.265,
2009-06,0.351,
2009-07,0.293,
2009-08,0.277,
2009-09,0.316,
2009-10,0.319,
2009-11,0.387,
2009-12,0.371,
2010-01,0.343,
2010-02,0.365,
2010-03,0.388,
2010-04,0.353,
2010-05,0.364,
2010-06,0.399,
2010-07,0.390,
2010-08,0.401,
2010-09,0.367,
2010-10,0.378,
2010-11,0.410,
2010-12,0.418,
2011-01,0.402,
2011-02,0.455,
2011-03,0.478,
2011-04,0.499,
2011-05,0.552,
2011-06,0.508,
2011-07,0.475,
2011-08,0.460,
2011-09,0.518,
2011-10,0.536,
2011-11,0.583,
2011-12,0.507,
2012-01,0.493,
2012-02,0.569,
2012-03,0.543,
2012-04,0.540,
2012-05,0.546,
2012-06,0.606,
2012-07,0.542,
2012-08,0.501,
2012-09,0.629,
2012-10,0.694,
2012-11,0.658,
2012-12,0.576,
2013-01,0.605,
2013-02,0.656,
2013-03,0.687,
2013-04,0.691,
2013-05,0.632,
2013-06,0.650,
2013-07,0.577,
2013-08,0.537,
2013-09,0.704,
2013-10,0.692,
2013-11,0.705,
2013-12,0.702,
2014-01,0.657,
2014-02,0.736,
2014-03,0.836,
2014-04,0.733,
2014-05,0.726,
2014-06,0.712,
2014-07,0.777,
2014-08,0.688,
2014-09,0.808,
2014-10,0.800,
2014-11,0.741,
2014-12,0.688,
