"",BBK01.OEXB05G,BBK01.OEXB05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:54,
2002-01,65.566,
2002-04,71.129,
2002-07,71.387,
2002-10,70.628,
2003-01,70.111,
2003-04,70.454,
2003-07,71.446,
2003-10,71.842,
2004-01,71.905,
2004-04,73.071,
2004-07,74.821,
2004-10,77.982,
2005-01,37.666,
2005-04,37.641,
2005-07,21.239,
2005-10,21.593,
2006-01,21.649,
2006-04,21.877,
2006-07,22.062,
2006-10,20.825,
2007-01,21.078,
2007-04,21.530,
2007-07,21.902,
2007-10,22.061,
2008-01,22.967,
2008-04,23.584,
2008-07,23.912,
2008-10,24.334,
2009-01,25.068,
2009-04,28.550,
2009-07,28.306,
2009-10,28.747,
2010-01,28.043,
2010-04,28.171,
2010-07,28.667,
2010-10,29.456,
2011-01,28.914,
2011-04,29.396,
2011-07,29.973,
2011-10,30.838,
2012-01,30.785,
2012-04,31.099,
2012-07,31.267,
2012-10,31.491,
2013-01,30.761,
2013-04,31.104,
2013-07,31.030,
2013-10,31.794,
2014-01,32.063,
2014-04,32.231,
2014-07,32.483,
