"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.IT.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.IT.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Italy / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:26,
2009-09,4626,
2009-10,4943,
2009-11,5330,
2009-12,5241,
2010-01,5311,
2010-02,5216,
2010-03,5150,
2010-04,5124,
2010-05,4896,
2010-06,4681,
2010-07,4790,
2010-08,4911,
2010-09,5642,
2010-10,6323,
2010-11,6261,
2010-12,6141,
2011-01,6295,
2011-02,7459,
2011-03,7694,
2011-04,8011,
2011-05,8149,
2011-06,8045,
2011-07,7755,
2011-08,7825,
2011-09,7384,
2011-10,7253,
2011-11,6613,
2011-12,6989,
2012-01,7047,
2012-02,6970,
2012-03,7370,
2012-04,7225,
2012-05,6993,
2012-06,6754,
2012-07,6655,
2012-08,6577,
2012-09,6915,
2012-10,7459,
2012-11,7893,
2012-12,7993,
2013-01,8425,
2013-02,8204,
2013-03,8249,
2013-04,8378,
2013-05,8197,
2013-06,8249,
2013-07,8207,
2013-08,8363,
2013-09,8347,
2013-10,9128,
2013-11,9147,
2013-12,9181,
2014-01,9726,
2014-02,10175,
2014-03,10386,
2014-04,10622,
2014-05,10848,
2014-06,11376,
2014-07,11802,
2014-08,12111,
2014-09,12190,
2014-10,12232,
2014-11,12330,
