"",BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:48,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,0.552,
1993-04,56.899,
1993-07,105.910,
1993-10,149.769,
1994-01,58.426,
1994-04,-79.277,
1994-07,-27.081,
1994-10,208.287,
1995-01,-41.199,
1995-04,234.936,
1995-07,105.929,
1995-10,148.275,
1996-01,187.405,
1996-04,-60.529,
1996-07,184.912,
1996-10,153.658,
1997-01,185.716,
1997-04,148.102,
1997-07,-330.736,
1997-10,392.521,
1998-01,-46.916,
1998-04,1614.162,
1998-07,702.259,
1998-10,993.643,
1999-01,538.873,
1999-04,446.256,
1999-07,668.026,
1999-10,144.315,
2000-01,100.817,
2000-04,515.777,
2000-07,689.019,
2000-10,17.976,
2001-01,-174.669,
2001-04,947.753,
2001-07,551.516,
2001-10,454.784,
2002-01,1035.834,
2002-04,1452.213,
2002-07,660.354,
2002-10,206.642,
2003-01,481.622,
2003-04,897.465,
2003-07,207.237,
2003-10,1268.065,
2004-01,859.034,
2004-04,420.106,
2004-07,524.612,
2004-10,1623.266,
2005-01,463.244,
2005-04,-79.937,
2005-07,1019.288,
2005-10,1622.396,
2006-01,-192.497,
2006-04,326.052,
2006-07,1154.842,
2006-10,800.902,
2007-01,921.058,
2007-04,385.006,
2007-07,537.805,
2007-10,212.192,
2008-01,-1031.521,
2008-04,413.836,
2008-07,630.199,
2008-10,323.253,
2009-01,-320.279,
2009-04,185.901,
2009-07,330.334,
2009-10,-1177.256,
2010-01,690.881,
2010-04,438.051,
2010-07,661.741,
2010-10,-21.274,
2011-01,249.967,
2011-04,-174.261,
2011-07,-375.344,
2011-10,3016.813,
2012-01,-1291.374,
2012-04,1504.072,
2012-07,1886.282,
2012-10,-1291.708,
2013-01,2957.119,
2013-04,-189.879,
2013-07,1814.220,
2013-10,1416.374,
2014-01,645.909,Provisional value
2014-04,-556.544,Provisional value
2014-07,20.434,Provisional value
2014-10,564.209,Provisional value
