"",BBK01.OEHB09N,BBK01.OEHB09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:09,
2002-01,39.168,
2002-04,39.470,
2002-07,39.410,
2002-10,39.446,
2003-01,39.173,
2003-04,39.353,
2003-07,39.500,
2003-10,39.435,
2004-01,39.187,
2004-04,39.312,
2004-07,39.473,
2004-10,39.522,
2005-01,39.303,
2005-04,39.408,
2005-07,38.918,
2005-10,38.912,
2006-01,39.153,
2006-04,39.416,
2006-07,39.576,
2006-10,39.737,
2007-01,40.152,
2007-04,40.923,
2007-07,41.676,
2007-10,42.946,
2008-01,43.820,
2008-04,44.633,
2008-07,46.157,
2008-10,46.990,
2009-01,47.772,
2009-04,48.250,
2009-07,48.324,
2009-10,48.491,
2010-01,48.825,
2010-04,49.057,
2010-07,49.358,
2010-10,49.640,
2011-01,50.441,
2011-04,51.096,
2011-07,51.541,
2011-10,51.549,
2012-01,52.496,
2012-04,53.133,
2012-07,53.160,
2012-10,53.578,
2013-01,54.669,
2013-04,54.462,
2013-07,53.613,
2013-10,53.632,
2014-01,53.789,
2014-04,53.830,
2014-07,53.880,
