"",BBK01.OEYB20M,BBK01.OEYB20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:24,
2002-01,27.661,
2002-04,27.837,
2002-07,29.133,
2002-10,29.615,
2003-01,29.836,
2003-04,30.506,
2003-07,31.337,
2003-10,30.583,
2004-01,31.113,
2004-04,30.877,
2004-07,29.469,
2004-10,30.291,
2005-01,29.041,
2005-04,29.516,
2005-07,30.245,
2005-10,30.582,
2006-01,30.759,
2006-04,30.571,
2006-07,30.670,
2006-10,31.171,
2007-01,31.233,
2007-04,31.650,
2007-07,31.993,
2007-10,32.176,
2008-01,32.280,
2008-04,32.560,
2008-07,33.045,
2008-10,33.264,
2009-01,33.255,
2009-04,33.286,
2009-07,33.272,
2009-10,33.128,
2010-01,32.869,
2010-04,32.748,
2010-07,32.430,
2010-10,32.125,
2011-01,31.872,
2011-04,31.620,
2011-07,31.083,
2011-10,30.716,
2012-01,30.410,
2012-04,30.157,
2012-07,29.753,
2012-10,29.414,
2013-01,29.104,
2013-04,28.802,
2013-07,28.651,
2013-10,28.294,
2014-01,28.022,
2014-04,27.759,
2014-07,27.443,
