"",BBK01.OEAE29V,BBK01.OEAE29V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:45,
2002-01,5.640,
2002-04,5.589,
2002-07,5.720,
2002-10,5.678,
2003-01,5.601,
2003-04,5.623,
2003-07,5.676,
2003-10,5.719,
2004-01,5.688,
2004-04,5.719,
2004-07,5.891,
2004-10,5.784,
2005-01,5.779,
2005-04,5.831,
2005-07,5.911,
2005-10,6.030,
2006-01,5.981,
2006-04,5.894,
2006-07,5.622,
2006-10,5.634,
2007-01,5.499,
2007-04,5.439,
2007-07,5.419,
2007-10,5.518,
2008-01,5.443,
2008-04,5.230,
2008-07,5.260,
2008-10,5.470,
2009-01,6.125,
2009-04,7.491,
2009-07,7.447,
2009-10,8.376,
2010-01,7.865,
2010-04,7.773,
2010-07,6.626,
2010-10,6.639,
2011-01,6.955,
2011-04,6.918,
2011-07,7.027,
2011-10,7.010,
2012-01,6.935,
2012-04,6.900,
2012-07,6.871,
2012-10,6.867,
2013-01,6.866,
2013-04,6.907,
2013-07,6.947,
2013-10,7.104,
2014-01,7.092,
2014-04,6.926,
2014-07,7.010,
