"",BBK01.OEAL05K,BBK01.OEAL05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:22,
2002-01,1.522,
2002-04,1.521,
2002-07,1.480,
2002-10,1.541,
2003-01,1.549,
2003-04,1.572,
2003-07,1.581,
2003-10,1.617,
2004-01,1.616,
2004-04,1.654,
2004-07,1.653,
2004-10,1.716,
2005-01,1.782,
2005-04,1.823,
2005-07,1.840,
2005-10,1.852,
2006-01,1.847,
2006-04,1.850,
2006-07,1.856,
2006-10,1.873,
2007-01,1.849,
2007-04,1.843,
2007-07,1.168,
2007-10,1.180,
2008-01,1.180,
2008-04,1.188,
2008-07,1.189,
2008-10,1.245,
2009-01,1.251,
2009-04,1.292,
2009-07,1.289,
2009-10,1.339,
2010-01,1.346,
2010-04,1.356,
2010-07,1.334,
2010-10,1.366,
2011-01,1.380,
2011-04,1.343,
2011-07,1.287,
2011-10,1.305,
2012-01,1.341,
2012-04,1.293,
2012-07,1.299,
2012-10,1.307,
2013-01,1.312,
2013-04,1.309,
2013-07,1.283,
2013-10,1.282,
2014-01,1.275,
2014-04,1.272,
2014-07,1.263,
