"",BBK01.OEAB02K,BBK01.OEAB02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:57,
2002-01,23.861,
2002-04,23.216,
2002-07,22.188,
2002-10,22.405,
2003-01,20.789,
2003-04,21.407,
2003-07,20.881,
2003-10,22.719,
2004-01,21.485,
2004-04,20.224,
2004-07,19.337,
2004-10,18.760,
2005-01,17.213,
2005-04,16.810,
2005-07,16.382,
2005-10,17.329,
2006-01,16.619,
2006-04,17.717,
2006-07,18.933,
2006-10,19.077,
2007-01,18.289,
2007-04,18.309,
2007-07,19.978,
2007-10,19.810,
2008-01,22.879,
2008-04,21.582,
2008-07,21.845,
2008-10,22.316,
2009-01,22.979,
2009-04,21.691,
2009-07,20.987,
2009-10,20.772,
2010-01,21.403,
2010-04,23.176,
2010-07,22.742,
2010-10,21.819,
2011-01,21.088,
2011-04,20.803,
2011-07,22.181,
2011-10,21.624,
2012-01,21.735,
2012-04,22.691,
2012-07,22.247,
2012-10,20.581,
2013-01,20.854,
2013-04,21.600,
2013-07,21.354,
2013-10,20.558,
2014-01,20.421,
2014-04,21.561,
2014-07,20.536,
