"",BBK01.OEAE15I,BBK01.OEAE15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:23,
2002-01,0.870,
2002-04,0.966,
2002-07,0.915,
2002-10,0.719,
2003-01,0.664,
2003-04,0.687,
2003-07,0.666,
2003-10,0.504,
2004-01,0.460,
2004-04,0.449,
2004-07,0.457,
2004-10,0.418,
2005-01,0.465,
2005-04,0.456,
2005-07,0.498,
2005-10,0.512,
2006-01,0.469,
2006-04,0.480,
2006-07,0.484,
2006-10,0.426,
2007-01,0.351,
2007-04,0.392,
2007-07,0.396,
2007-10,0.384,
2008-01,0.412,
2008-04,0.410,
2008-07,0.456,
2008-10,0.432,
2009-01,0.472,
2009-04,0.486,
2009-07,0.517,
2009-10,0.507,
2010-01,0.391,
2010-04,0.491,
2010-07,0.494,
2010-10,0.449,
2011-01,0.465,
2011-04,0.488,
2011-07,0.453,
2011-10,0.358,
2012-01,0.350,
2012-04,0.400,
2012-07,0.441,
2012-10,0.413,
2013-01,0.466,
2013-04,0.495,
2013-07,0.496,
2013-10,0.388,
2014-01,0.399,
2014-04,0.497,
2014-07,0.481,
