"",BBDE1.M.DE.Y.AEB1.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.AEB1.A2P300000.F.V.I10.A_FLAGS
"",Orders received from the domestic market / At current prices / Germany / Industry / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:06,
1991-01,90.2,
1991-02,86.2,
1991-03,87.5,
1991-04,85.3,
1991-05,84.5,
1991-06,86.0,
1991-07,82.3,
1991-08,86.2,
1991-09,83.4,
1991-10,85.0,
1991-11,87.0,
1991-12,85.6,
1992-01,88.2,
1992-02,88.4,
1992-03,86.8,
1992-04,85.7,
1992-05,84.0,
1992-06,81.5,
1992-07,79.1,
1992-08,79.9,
1992-09,81.7,
1992-10,77.5,
1992-11,75.5,
1992-12,78.6,
1993-01,77.2,
1993-02,73.3,
1993-03,71.7,
1993-04,71.3,
1993-05,72.8,
1993-06,71.6,
1993-07,73.5,
1993-08,72.5,
1993-09,75.9,
1993-10,73.9,
1993-11,73.2,
1993-12,75.7,
1994-01,72.9,
1994-02,75.2,
1994-03,75.8,
1994-04,76.4,
1994-05,75.9,
1994-06,76.8,
1994-07,77.9,
1994-08,77.6,
1994-09,79.8,
1994-10,80.7,
1994-11,80.7,
1994-12,84.5,
1995-01,79.2,
1995-02,80.7,
1995-03,80.7,
1995-04,81.1,
1995-05,83.3,
1995-06,79.2,
1995-07,82.2,
1995-08,78.5,
1995-09,80.8,
1995-10,77.1,
1995-11,80.4,
1995-12,78.7,
1996-01,77.7,
1996-02,75.0,
1996-03,77.5,
1996-04,77.4,
1996-05,76.4,
1996-06,80.7,
1996-07,77.3,
1996-08,77.6,
1996-09,78.2,
1996-10,77.9,
1996-11,77.4,
1996-12,77.3,
1997-01,77.0,
1997-02,77.1,
1997-03,79.7,
1997-04,79.4,
1997-05,80.1,
1997-06,80.9,
1997-07,80.6,
1997-08,79.8,
1997-09,81.0,
1997-10,81.7,
1997-11,82.6,
1997-12,82.0,
1998-01,85.7,
1998-02,84.5,
1998-03,85.6,
1998-04,84.8,
1998-05,84.7,
1998-06,84.3,
1998-07,85.3,
1998-08,82.2,
1998-09,84.0,
1998-10,81.3,
1998-11,81.6,
1998-12,80.5,
1999-01,82.2,
1999-02,79.7,
1999-03,80.5,
1999-04,80.0,
1999-05,81.3,
1999-06,84.0,
1999-07,83.5,
1999-08,85.3,
1999-09,84.6,
1999-10,87.1,
1999-11,87.1,
1999-12,86.7,
2000-01,85.0,
2000-02,89.1,
2000-03,88.4,
2000-04,92.9,
2000-05,92.4,
2000-06,93.8,
2000-07,93.1,
2000-08,92.3,
2000-09,92.2,
2000-10,92.1,
2000-11,93.1,
2000-12,92.6,
2001-01,92.5,
2001-02,92.8,
2001-03,93.4,
2001-04,90.0,
2001-05,89.8,
2001-06,89.4,
2001-07,88.7,
2001-08,90.2,
2001-09,87.6,
2001-10,85.5,
2001-11,84.7,
2001-12,87.8,
2002-01,86.9,
2002-02,85.2,
2002-03,85.6,
2002-04,86.9,
2002-05,85.4,
2002-06,88.0,
2002-07,87.2,
2002-08,88.1,
2002-09,87.9,
2002-10,88.0,
2002-11,87.5,
2002-12,87.3,
2003-01,87.4,
2003-02,89.5,
2003-03,85.8,
2003-04,86.4,
2003-05,86.0,
2003-06,87.3,
2003-07,86.3,
2003-08,84.8,
2003-09,87.5,
2003-10,89.2,
2003-11,90.1,
2003-12,89.3,
2004-01,88.8,
2004-02,90.7,
2004-03,91.4,
2004-04,91.7,
2004-05,90.2,
2004-06,91.0,
2004-07,91.7,
2004-08,91.1,
2004-09,90.9,
2004-10,93.9,
2004-11,91.7,
2004-12,96.3,
2005-01,93.0,
2005-02,91.7,
2005-03,92.6,
2005-04,92.2,
2005-05,91.8,
2005-06,95.7,
2005-07,95.3,
2005-08,95.2,
2005-09,96.5,
2005-10,97.9,
2005-11,98.3,
2005-12,98.6,
2006-01,98.3,
2006-02,99.3,
2006-03,98.6,
2006-04,101.1,
2006-05,104.0,
2006-06,102.0,
2006-07,103.4,
2006-08,107.4,
2006-09,110.1,
2006-10,107.0,
2006-11,107.4,
2006-12,108.0,
2007-01,109.4,
2007-02,110.3,
2007-03,111.2,
2007-04,110.3,
2007-05,113.3,
2007-06,115.1,
2007-07,112.4,
