"",BBK01.CEB0C0,BBK01.CEB0C0_FLAGS
"",Liabilities debtor: General government                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:52,
1991-01,561.3,
1991-04,571.6,
1991-07,577.9,
1991-10,601.4,
1992-01,617.0,
1992-04,620.3,
1992-07,639.4,
1992-10,693.2,
1993-01,723.4,
1993-04,738.1,
1993-07,765.1,
1993-10,802.3,
1994-01,830.5,
1994-04,817.8,
1994-07,818.9,
1994-10,848.5,
1995-01,957.2,
1995-04,976.4,
1995-07,1006.0,
1995-10,1049.4,
1996-01,1050.5,
1996-04,1058.7,
1996-07,1084.9,
1996-10,1124.0,
1997-01,1140.4,
1997-04,1155.5,
1997-07,1165.1,
1997-10,1177.0,
1998-01,1202.8,
1998-04,1203.4,
1998-07,1228.4,
1998-10,1239.4,
1999-01,1269.3,
1999-04,1259.8,
1999-07,1245.0,
1999-10,1252.6,
2000-01,1264.2,
2000-04,1263.9,
2000-07,1269.2,
2000-10,1265.6,
2001-01,1261.9,
2001-04,1246.1,
2001-07,1267.4,
2001-10,1284.5,
2002-01,1293.8,
2002-04,1299.6,
2002-07,1343.6,
2002-10,1353.5,
2003-01,1401.3,
2003-04,1430.6,
2003-07,1424.6,
2003-10,1435.5,
2004-01,1497.8,
2004-04,1486.3,
2004-07,1516.3,
2004-10,1534.4,
2005-01,1557.9,
2005-04,1600.1,
2005-07,1622.2,
2005-10,1612.6,
2006-01,1614.2,
2006-04,1607.7,
2006-07,1635.4,
2006-10,1632.7,
2007-01,1625.6,
2007-04,1611.9,
2007-07,1605.8,
2007-10,1613.0,
2008-01,1648.8,
2008-04,1647.8,
2008-07,1659.9,
2008-10,1743.5,
2009-01,1771.3,
2009-04,1815.3,
2009-07,1837.9,
2009-10,1856.4,
2010-01,1886.6,
2010-04,1966.1,
2010-07,2009.7,
2010-10,2167.3,
2011-01,2142.5,
2011-04,2168.9,
2011-07,2262.3,
2011-10,2255.8,
2012-01,2297.4,
2012-04,2384.7,
2012-07,2378.9,
2012-10,2372.9,
2013-01,2359.3,
2013-04,2331.5,
2013-07,2275.2,
2013-10,2294.3,
2014-01,2307.6,
