"",BBEX3.M.MUR.USD.CA.AA.A01,BBEX3.M.MUR.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Mauritius  / USD 1 = MUR ... (buying),
unit,MUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:23,
1991-01,14.1190,
1991-02,14.3510,
1991-03,15.7250,
1991-04,16.2460,
1991-05,16.0590,
1991-06,16.8740,
1991-07,16.4030,
1991-08,16.3670,
1991-09,15.9810,
1991-10,15.9520,
1991-11,15.6260,
1991-12,14.7610,
1992-01,15.3770,
1992-02,15.7330,
1992-03,15.9240,
1992-04,15.9780,
1992-05,15.5970,
1992-06,15.0640,
1992-07,14.8450,
1992-08,14.2950,
1992-09,14.8190,
1992-10,15.9030,
1992-11,16.6210,
1992-12,16.9580,
1993-01,16.9140,
1993-02,17.3210,
1993-03,17.1320,
1993-04,16.6690,
1993-05,16.7880,
1993-06,17.5480,
1993-07,18.5220,
1993-08,18.0370,
1993-09,17.7570,
1993-10,18.4130,
1993-11,18.5050,
1993-12,18.6110,
1994-01,18.6310,
1994-02,18.4360,
1994-03,18.1460,
1994-04,17.9570,
1994-05,17.9360,
1994-06,17.5840,
1994-07,17.7330,
1994-08,17.8050,
1994-09,17.6260,
1994-10,17.4020,
1994-11,18.0790,
1994-12,17.9970,
1995-01,17.7030,
1995-02,17.4040,
1995-03,17.3520,
1995-04,17.1730,
1995-05,17.3350,
1995-06,17.3720,
1995-07,17.4860,
1995-08,18.1810,
1995-09,17.8300,
1995-10,17.8780,
1995-11,18.1460,
1995-12,18.2130,
1996-01,18.7260,
1996-02,18.6380,
1996-03,18.8770,
1996-04,19.3270,
1996-05,19.5070,
1996-06,19.9690,
1996-07,19.9720,
1996-08,20.1740,
1996-09,20.5170,
1996-10,20.3000,
1996-11,19.9450,
1996-12,19.7810,
1997-01,19.8940,
1997-02,19.9870,
1997-03,20.0320,
1997-04,20.4420,
1997-05,20.3350,
1997-06,20.7360,
1997-07,21.4370,
1997-08,21.6260,
1997-09,21.6530,
1997-10,21.5370,
1997-11,21.9370,
1997-12,22.1210,
1998-01,22.5290,
1998-02,22.7680,
1998-03,23.5900,
1998-04,23.6840,
