"",BBK01.OEBL07G,BBK01.OEBL07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:51,
2002-01,30.777,
2002-04,30.345,
2002-07,30.567,
2002-10,33.778,
2003-01,35.629,
2003-04,35.963,
2003-07,36.860,
2003-10,39.044,
2004-01,40.011,
2004-04,40.333,
2004-07,40.720,
2004-10,42.103,
2005-01,10.380,
2005-04,10.542,
2005-07,8.133,
2005-10,8.124,
2006-01,7.928,
2006-04,7.816,
2006-07,7.652,
2006-10,7.654,
2007-01,8.173,
2007-04,8.234,
2007-07,8.292,
2007-10,8.710,
2008-01,8.797,
2008-04,9.129,
2008-07,8.990,
2008-10,9.987,
2009-01,10.113,
2009-04,10.456,
2009-07,11.048,
2009-10,10.893,
2010-01,10.539,
2010-04,10.231,
2010-07,10.093,
2010-10,10.578,
2011-01,10.728,
2011-04,10.511,
2011-07,10.461,
2011-10,10.356,
2012-01,10.853,
2012-04,10.857,
2012-07,10.645,
2012-10,10.451,
2013-01,9.796,
2013-04,9.364,
2013-07,9.084,
2013-10,8.927,
2014-01,8.900,
2014-04,8.664,
2014-07,8.839,
