"",BBK01.OEAH67R,BBK01.OEAH67R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:55,
2002-01,6.705,
2002-04,6.539,
2002-07,6.604,
2002-10,6.799,
2003-01,6.837,
2003-04,6.752,
2003-07,6.781,
2003-10,6.916,
2004-01,6.897,
2004-04,6.833,
2004-07,6.825,
2004-10,6.931,
2005-01,7.529,
2005-04,7.481,
2005-07,7.458,
2005-10,7.558,
2006-01,7.530,
2006-04,7.486,
2006-07,7.466,
2006-10,7.488,
2007-01,7.513,
2007-04,7.445,
2007-07,7.428,
2007-10,7.555,
2008-01,7.554,
2008-04,7.519,
2008-07,7.449,
2008-10,7.691,
2009-01,7.699,
2009-04,7.659,
2009-07,7.682,
2009-10,7.882,
2010-01,7.850,
2010-04,7.795,
2010-07,7.762,
2010-10,7.942,
2011-01,7.985,
2011-04,7.964,
2011-07,7.931,
2011-10,8.011,
2012-01,8.059,
2012-04,8.057,
2012-07,8.063,
2012-10,8.095,
2013-01,8.060,
2013-04,7.975,
2013-07,7.959,
2013-10,8.001,
2014-01,7.989,
2014-04,7.914,
2014-07,7.960,
