"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.P.F51._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.P.F51._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Equity - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:50,
1999-10,364386,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,302912,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,313124,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,182229,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,268200,
2004-01,254796,
2004-04,249801,
2004-07,247084,
2004-10,270512,
2005-01,276803,
2005-04,288681,
2005-07,325348,
2005-10,348388,
2006-01,384441,
2006-04,357977,
2006-07,383827,
2006-10,435721,
2007-01,472865,
2007-04,567648,
2007-07,558550,
2007-10,575742,
2008-01,452166,
2008-04,410819,
2008-07,373189,
2008-10,306382,
2009-01,249237,
2009-04,280544,
2009-07,343927,
2009-10,362468,
2010-01,372688,
2010-04,351746,
2010-07,369546,
2010-10,408101,
2011-01,406846,
2011-04,419627,
2011-07,309187,
2011-10,325965,
2012-01,372576,
2012-04,342745,
2012-07,385834,
2012-10,407335,
2013-01,410622,
2013-04,406559,
2013-07,441507,
2013-10,492134,
2014-01,483742,
2014-04,493141,
2014-07,483605,
