"",BBK01.OEBO01J,BBK01.OEBO01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:17,
2002-01,0.832,
2002-04,0.810,
2002-07,0.701,
2002-10,0.683,
2003-01,0.691,
2003-04,0.679,
2003-07,0.663,
2003-10,0.672,
2004-01,0.654,
2004-04,0.614,
2004-07,0.588,
2004-10,0.614,
2005-01,0.941,
2005-04,0.926,
2005-07,0.928,
2005-10,0.902,
2006-01,0.895,
2006-04,0.890,
2006-07,0.884,
2006-10,0.879,
2007-01,0.890,
2007-04,0.932,
2007-07,0.947,
2007-10,0.950,
2008-01,0.977,
2008-04,0.973,
2008-07,0.981,
2008-10,0.964,
2009-01,1.085,
2009-04,1.109,
2009-07,1.141,
2009-10,1.275,
2010-01,1.222,
2010-04,1.178,
2010-07,1.168,
2010-10,1.155,
2011-01,1.228,
2011-04,1.257,
2011-07,1.235,
2011-10,1.220,
2012-01,1.217,
2012-04,1.264,
2012-07,1.228,
2012-10,1.192,
2013-01,1.163,
2013-04,1.062,
2013-07,1.027,
2013-10,0.999,
2014-01,1.002,
2014-04,0.980,
2014-07,0.960,
