"",BBK01.XS8857,BBK01.XS8857_FLAGS
"",Imports / Product Classification for Production Statistics from 2002 / 34 vehicles / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:36,
1995-01,2.18,
1995-02,2.61,
1995-03,2.44,
1995-04,2.35,
1995-05,2.43,
1995-06,2.41,
1995-07,2.39,
1995-08,2.25,
1995-09,2.39,
1995-10,2.47,
1995-11,2.60,
1995-12,2.70,
1996-01,2.73,
1996-02,2.87,
1996-03,3.00,
1996-04,2.95,
1996-05,2.75,
1996-06,2.59,
1996-07,2.80,
1996-08,2.25,
1996-09,2.90,
1996-10,3.02,
1996-11,2.95,
1996-12,2.86,
1997-01,3.06,
1997-02,3.14,
1997-03,3.03,
1997-04,2.99,
1997-05,3.23,
1997-06,3.11,
1997-07,3.16,
1997-08,3.27,
1997-09,3.19,
1997-10,3.23,
1997-11,2.85,
1997-12,3.55,
1998-01,3.33,
1998-02,3.31,
1998-03,3.16,
1998-04,3.60,
1998-05,3.29,
1998-06,3.80,
1998-07,3.36,
1998-08,3.54,
1998-09,3.72,
1998-10,3.57,
1998-11,3.82,
1998-12,3.34,
1999-01,3.92,
1999-02,3.55,
1999-03,3.70,
1999-04,3.98,
1999-05,4.00,
1999-06,3.80,
1999-07,3.69,
1999-08,4.37,
1999-09,3.85,
1999-10,3.34,
1999-11,3.67,
1999-12,3.98,
2000-01,3.63,
2000-02,3.82,
2000-03,4.50,
2000-04,3.86,
2000-05,4.37,
2000-06,3.92,
2000-07,4.24,
2000-08,3.92,
2000-09,3.90,
2000-10,4.35,
2000-11,4.18,
2000-12,4.24,
2001-01,4.32,
2001-02,4.70,
2001-03,4.24,
2001-04,4.32,
2001-05,4.33,
2001-06,4.35,
2001-07,4.44,
2001-08,4.76,
2001-09,4.24,
2001-10,4.30,
2001-11,4.31,
2001-12,4.67,
2002-01,4.28,
2002-02,4.53,
2002-03,4.50,
2002-04,4.27,
2002-05,4.38,
2002-06,4.87,
2002-07,4.96,
2002-08,4.89,
2002-09,4.93,
2002-10,4.92,
2002-11,4.86,
2002-12,4.74,
2003-01,4.81,
2003-02,4.85,
2003-03,5.14,
2003-04,4.88,
2003-05,4.68,
2003-06,4.97,
2003-07,5.16,
2003-08,4.82,
2003-09,5.23,
2003-10,5.02,
2003-11,5.22,
2003-12,4.90,
2004-01,5.28,
2004-02,5.18,
2004-03,5.08,
2004-04,5.13,
2004-05,5.57,
2004-06,4.45,
2004-07,5.91,
2004-08,5.07,
2004-09,4.87,
2004-10,4.94,
2004-11,5.24,
2004-12,5.04,
2005-01,5.32,
2005-02,5.25,
2005-03,5.27,
2005-04,5.45,
2005-05,5.62,
2005-06,5.77,
2005-07,5.17,
2005-08,5.73,
2005-09,5.76,
2005-10,5.66,
2005-11,5.38,
2005-12,5.66,
2006-01,5.66,
2006-02,6.18,
2006-03,5.80,
2006-04,5.95,
2006-05,5.81,
2006-06,5.90,
2006-07,6.08,
2006-08,5.90,
2006-09,6.42,
2006-10,6.35,
2006-11,6.41,
2006-12,6.82,
2007-01,6.53,
2007-02,6.52,
2007-03,6.61,
2007-04,6.30,
2007-05,6.73,
2007-06,6.36,
2007-07,6.51,
2007-08,7.17,
2007-09,6.67,
2007-10,6.89,
2007-11,6.62,
2007-12,6.31,
2008-01,6.65,
2008-02,6.68,
2008-03,6.95,
2008-04,6.64,
2008-05,6.54,
2008-06,6.22,
2008-07,6.25,
2008-08,6.21,
2008-09,6.19,
2008-10,5.56,
2008-11,5.34,
2008-12,4.57,
