"",BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.O.F4.S._T.N.N,BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.O.F4.S._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Loans / General government / Short-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:59:01,
1991-01,115.641,
1991-04,9.257,
1991-07,-36.752,
1991-10,-160.517,
1992-01,181.032,
1992-04,55.747,
1992-07,-152.910,
1992-10,380.931,
1993-01,185.603,
1993-04,-78.739,
1993-07,263.217,
1993-10,51.295,
1994-01,-136.496,
1994-04,335.923,
1994-07,190.712,
1994-10,683.094,
1995-01,-367.473,
1995-04,22.497,
1995-07,-130.313,
1995-10,215.770,
1996-01,-417.316,
1996-04,478.048,
1996-07,-524.781,
1996-10,194.582,
1997-01,386.013,
1997-04,-108.340,
1997-07,-134.292,
1997-10,163.456,
1998-01,192.409,
1998-04,434.233,
1998-07,-569.214,
1998-10,1432.394,
1999-01,-1297.808,
1999-04,-55.019,
1999-07,-449.387,
1999-10,-134.459,
2000-01,536.089,
2000-04,-147.915,
2000-07,-231.237,
2000-10,-743.378,
2001-01,-144.795,
2001-04,-4.038,
2001-07,-47.956,
2001-10,32.732,
2002-01,82.235,
2002-04,145.518,
2002-07,-241.869,
2002-10,158.075,
2003-01,-59.577,
2003-04,-16.981,
2003-07,-19.998,
2003-10,-23.697,
2004-01,170.018,
2004-04,-93.142,
2004-07,233.438,
2004-10,362.676,
2005-01,2427.199,
2005-04,1375.638,
2005-07,-5052.274,
2005-10,2317.257,
2006-01,-1552.577,
2006-04,-1554.381,
2006-07,3524.647,
2006-10,-3059.874,
2007-01,-3.457,
2007-04,1985.586,
2007-07,1336.916,
2007-10,-2691.740,
2008-01,3794.858,
2008-04,5273.432,
2008-07,1308.006,
2008-10,-4724.366,
2009-01,9504.205,
2009-04,-2413.310,
2009-07,559.062,
2009-10,-8308.206,
2010-01,-3037.663,
2010-04,1491.114,
2010-07,2421.212,
2010-10,93172.080,
2011-01,-12904.024,
2011-04,-1985.039,
2011-07,3655.912,
2011-10,26029.836,
2012-01,-39681.130,
2012-04,-6869.002,
2012-07,-18375.767,
2012-10,-2176.431,
2013-01,-6167.000,
2013-04,2825.000,
2013-07,-10404.816,
2013-10,2566.398,
2014-01,-6725.000,
2014-04,3905.001,
2014-07,-3849.000,
